mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
100,4.721246399047171,26.048,4.136,0.882,0.838,0.151,0.58,0.407,0.355,0.199,0.181,0.191,0.264,0.218,0.447,0.303,1.0,0.2124814,6.953,2.913,1.023,0.534341,5.38712665,53.832272,115.807465,81.570335
101,5.721246399047171,14.218,6.991,1.426,0.628,0.144,0.638,0.467,0.434,0.391,0.185,0.262,0.52,0.3,0.513,0.398,6.0,0.2382534,7.072,3.616,1.02,0.466694,3.48911587,23.021917,164.354935,186.5327
103,6.214670164989233,265.117,138.944,8.051,0.643,0.146,0.509,0.411,0.376,0.386,0.603,0.396,0.459,0.891,0.432,0.46,4.0,0.2843186,6.819,4.546,1.04,0.432886,5.79393294,70.775375,127.02449,85.764229
104,8.0,272.084,7.272,4.313,0.959,0.146,0.658,0.326,0.342,0.544,0.285,0.337,0.924,0.376,0.442,0.545,7.0,0.3746525,6.921,4.917,1.04,0.447157,5.75728585,48.151672,139.724319,87.822609
105,7.096910013008056,19.815,4.974,1.797,0.745,0.146,0.489,0.504,0.417,0.262,0.147,0.222,0.33,0.228,0.47,0.394,7.0,0.346322,7.253,4.581,1.048,0.539907,6.20880662,61.467804,116.776489,65.150406
106,6.614393726401688,265.352,8.839,4.577,0.952,0.145,0.921,0.387,0.371,0.357,0.112,0.181,0.467,0.169,0.56,0.444,6.0,0.2996542,7.169,4.984,1.037,0.556718,3.48344531,47.675842,95.641739,92.765549
107,6.431798275933005,29.492,3.6,1.134,0.862,0.145,0.506,0.463,0.394,0.176,0.238,0.266,0.246,0.305,0.455,0.41,9.0,0.3099975,7.454,4.945,1.062,0.634753,6.08585473,43.506901,85.548149,108.485748
108,6.494850021680094,150.907,7.366,3.211,0.935,0.143,0.259,0.425,0.341,0.273,0.17,0.232,0.342,0.232,0.341,0.229,6.0,0.4426174,7.033,3.807,1.056,0.398577,4.77722032,64.918533,109.475006,111.242783
109,7.096910013008056,293.145,46.225,4.094,0.853,0.143,0.963,0.128,0.302,0.081,0.176,0.198,0.128,0.308,0.464,0.42,8.0,0.2015436,7.399,4.919,1.046,0.532718,4.63470485,65.315018,130.755432,114.632652
110,6.376750709602099,198.973,58.545,9.779,0.744,0.147,0.167,0.068,0.43,0.003,0.225,0.327,0.025,0.324,0.221,0.15,5.0,0.4258419,6.086,4.282,1.044,0.374223,3.91370451,45.374573,110.118027,119.321716
112,5.037630664329979,210.472,9.148,1.442,0.952,0.144,0.632,0.356,0.397,0.348,0.243,0.267,0.435,0.362,0.462,0.44,8.0,0.2318713,8.507,5.557,1.047,0.644259,7.1019127,72.606789,145.453842,75.136604
113,5.476253533188435,11.012,5.482,2.534,0.579,0.143,0.431,0.357,0.397,0.282,0.208,0.29,0.305,0.345,0.395,0.269,2.0,0.5253482,7.175,4.181,1.018,0.400123,3.86959365,72.61982,162.07605,102.730324
114,5.671620396561262,202.779,107.82,9.482,0.634,0.142,0.454,0.182,0.416,0.148,0.525,0.485,0.216,0.448,0.351,0.354,1.0,0.3193234,7.441,4.331,1.044,0.532606,4.61299751,74.021118,170.946411,153.012177
115,5.111259039317107,51.555,6.133,3.031,0.849,0.142,0.047,0.375,0.439,0.175,0.178,0.328,0.327,0.384,0.287,0.119,5.0,0.319073,7.211,4.195,1.052,0.399574,5.70503323,45.403042,218.856201,114.366913
116,7.501689446210399,25.975,8.193,2.226,0.714,0.15,0.065,0.497,0.281,0.53,0.201,0.189,0.559,0.197,0.281,0.313,5.0,0.2291604,6.549,3.762,1.075,0.486,6.14829079,44.544998,112.390839,63.24165
117,5.698970004336019,20.108,4.388,1.756,0.766,0.15,0.546,0.342,0.453,0.239,0.191,0.316,0.245,0.311,0.447,0.381,4.0,0.2446693,7.113,3.461,1.11,0.508843,1.73941995,68.819298,83.516129,60.637062
118,6.301029995663981,29.622,14.194,2.077,0.645,0.15,0.115,0.078,0.474,0.626,0.237,0.291,0.883,0.313,0.222,0.344,4.0,0.232163,6.705,3.492,1.059,0.543598,4.63491055,61.911625,109.204636,61.475922
119,6.0,228.886,9.808,2.207,0.95,0.15,0.938,0.483,0.437,0.421,0.211,0.273,0.347,0.28,0.619,0.549,3.0,0.1817883,6.996,3.527,1.051,0.522808,5.52302439,46.925785,90.176682,71.712624
120,5.361510743045363,139.709,12.269,4.739,0.891,0.147,0.204,0.453,0.312,0.525,0.161,0.184,0.673,0.232,0.323,0.251,5.0,0.3912283,7.136,4.43,1.053,0.450391,1.92714929,64.646652,126.071152,115.114296
121,5.3979400086720375,415.729,5.122,1.623,0.984,0.143,0.93,0.409,0.326,0.25,0.14,0.187,0.282,0.269,0.555,0.416,5.0,0.279417,7.791,4.332,1.02,0.544311,5.23002905,81.354599,124.350906,102.043579
122,6.214670164989233,202.449,16.996,2.835,0.911,0.143,0.556,0.514,0.482,0.626,0.322,0.321,0.523,0.368,0.517,0.473,6.0,0.2114122,8.431,4.903,1.035,0.634317,4.39672073,49.672626,127.481491,96.812973
123,5.276544327964814,208.396,7.899,5.542,0.939,0.143,0.593,0.455,0.553,0.452,0.328,0.393,0.469,0.451,0.533,0.48,7.0,0.2929639,7.652,4.668,1.044,0.574597,9.37838319,64.173134,129.612854,144.770111
