mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
86,7.698970004336019,79.307,43.43,2.297,0.634,0.152,0.155,0.121,0.397,0.11,0.17,0.085,0.228,0.185,0.191,0.224,0.201,0.334,4.0,0.176674,7.163,3.623,1.045,0.62834,5.90887443,68.909203,123.494926,101.468063
88,6.376750709602099,110.004,18.009,2.028,0.846,0.154,0.146,0.417,0.532,0.342,0.431,0.344,0.4,0.497,0.359,0.365,0.319,0.401,6.0,0.2536194,6.587,4.027,1.056,0.531702,4.08532005,30.791182,74.976624,97.030792
89,7.522878745280337,115.447,85.842,2.391,0.567,0.151,0.364,0.257,0.391,0.006,0.122,0.03,0.215,0.035,0.171,0.337,0.218,0.3,5.0,0.2139639,6.605,3.651,1.052,0.540693,5.78170241,53.50185,134.435852,61.04977
90,8.0,43.599,7.957,3.349,0.794,0.152,0.055,0.466,0.627,0.619,0.328,0.414,0.501,0.821,0.343,0.383,0.332,0.426,4.0,0.219346,6.306,4.161,1.056,0.398869,6.64824371,53.39069,103.893051,81.658554
91,7.045757490560675,337.79,6.204,1.381,0.978,0.153,0.669,0.396,0.497,0.267,0.188,0.284,0.258,0.239,0.356,0.521,0.416,0.494,5.0,0.1928369,6.895,3.826,1.044,0.60094,4.21733327,61.562248,79.48291,72.156342
92,7.221848749616356,283.789,159.574,1.534,0.638,0.153,0.277,0.65,0.412,0.549,0.443,0.682,0.31,0.642,0.65,0.446,0.397,0.488,8.0,0.2348161,7.027,3.63,1.047,0.550021,5.01406352,36.353371,99.544205,94.720268
93,5.229147988357856,14.681,6.804,0.615,0.664,0.157,0.533,0.477,0.283,0.329,0.103,0.335,0.129,0.301,0.198,0.431,0.378,0.497,5.0,0.1790956,5.975,3.497,1.04,0.475129,4.71901176,101.06398,119.88765,69.253639
94,7.522878745280337,25.676,5.78,0.822,0.795,0.152,0.605,0.446,0.367,0.291,0.113,0.294,0.162,0.33,0.206,0.473,0.391,0.503,8.0,0.1863434,7.231,3.935,1.044,0.579154,5.48710082,51.429672,89.672272,67.150917
95,5.721246399047171,22.923,4.01,1.406,0.809,0.155,0.561,0.397,0.308,0.19,0.153,0.241,0.174,0.269,0.265,0.422,0.349,0.489,6.0,0.2267294,6.753,3.537,1.048,0.537182,3.50428617,58.07917,97.38208,114.188072
100,4.721246399047171,21.436,10.924,4.753,0.578,0.151,0.037,0.393,0.478,0.012,0.002,0.014,0.12,0.026,0.247,0.303,0.125,0.112,4.0,0.2182959,6.088,2.98,1.025,0.430281,2.46043527,30.048695,127.74823,66.143715
101,5.721246399047171,296.259,64.163,5.94,0.809,0.144,0.334,0.145,0.41,0.042,0.444,0.075,0.41,0.085,0.56,0.296,0.305,0.342,8.0,0.1400313,7.274,3.683,1.02,0.484673,4.7530965,36.674713,156.22052,182.688553
103,6.214670164989233,20.341,5.16,2.762,0.72,0.149,0.569,0.415,0.385,0.475,0.154,0.373,0.223,0.599,0.225,0.456,0.446,0.547,6.0,0.1400762,7.854,4.814,1.043,0.534258,3.51876807,66.617958,128.301361,87.050247
104,8.0,25.917,4.388,2.575,0.788,0.146,0.557,0.37,0.416,0.263,0.22,0.247,0.286,0.341,0.286,0.448,0.413,0.508,6.0,0.2131348,7.894,4.952,1.04,0.59085,4.79039094,57.562881,132.983612,78.857796
105,7.096910013008056,78.156,17.978,1.537,0.8,0.146,0.073,0.491,0.292,0.773,0.114,0.572,0.162,0.949,0.165,0.286,0.327,0.413,7.0,0.2265581,7.69,4.95,1.048,0.573054,3.95936815,64.485832,111.009857,83.381447
106,6.614393726401688,33.282,3.239,1.547,0.874,0.145,0.58,0.444,0.351,0.271,0.165,0.297,0.218,0.332,0.269,0.458,0.444,0.536,6.0,0.1549873,8.152,4.95,1.037,0.667153,3.94316928,54.031883,86.467041,97.816002
107,6.431798275933005,49.831,9.683,3.115,0.796,0.146,0.069,0.379,0.4,0.441,0.148,0.376,0.234,0.486,0.205,0.283,0.274,0.355,10.0,0.3580813,7.289,5.385,1.063,0.460572,11.0606386,62.315125,102.0093,103.272705
108,6.494850021680094,228.351,13.598,5.904,0.921,0.143,0.511,0.411,0.302,0.258,0.092,0.293,0.14,0.283,0.207,0.408,0.31,0.37,6.0,0.2929609,8.38,4.95,1.055,0.559457,7.85449723,68.769867,135.255646,100.889053
109,7.096910013008056,168.932,17.509,1.563,0.899,0.143,0.351,0.357,0.345,0.295,0.177,0.338,0.21,0.366,0.245,0.351,0.306,0.336,7.0,0.1464927,7.85,4.884,1.049,0.598988,5.31737228,62.77449,121.490395,92.361282
110,6.376750709602099,428.012,114.189,2.506,0.786,0.147,0.487,0.439,0.335,0.532,0.209,0.528,0.249,0.49,0.309,0.421,0.357,0.39,6.0,0.1982684,7.097,4.453,1.044,0.535284,6.05819316,48.238255,104.176956,92.199799
112,5.037630664329979,17.951,5.293,1.597,0.723,0.144,0.454,0.493,0.279,0.303,0.151,0.331,0.182,0.356,0.26,0.409,0.416,0.55,6.0,0.2831227,7.479,5.189,1.048,0.53176,4.93205118,73.974564,134.265579,76.578659
113,5.476253533188435,10.765,7.387,2.169,0.53,0.142,0.372,0.354,0.362,0.304,0.202,0.268,0.266,0.295,0.327,0.363,0.263,0.327,3.0,0.4689837,7.114,4.317,1.018,0.419243,1.44836909,59.366035,136.232956,109.126053
114,5.671620396561262,31.437,3.563,1.832,0.854,0.142,0.48,0.446,0.379,0.201,0.175,0.26,0.239,0.288,0.273,0.435,0.3,0.382,6.0,0.2387872,8.503,4.466,1.044,0.603289,6.20047057,58.380051,146.183609,116.277702
115,5.111259039317107,102.285,4.572,2.35,0.937,0.142,0.249,0.344,0.393,0.177,0.191,0.211,0.26,0.257,0.312,0.328,0.197,0.286,4.0,0.2697747,8.569,4.499,1.053,0.640145,6.6968916,61.197079,190.060791,74.705513
116,7.501689446210399,22.224,4.026,1.366,0.805,0.15,0.518,0.325,0.429,0.232,0.227,0.214,0.271,0.252,0.296,0.424,0.418,0.548,4.0,0.2660037,6.705,3.596,1.077,0.54621,5.2200415,37.924286,97.742928,49.433693
117,5.698970004336019,182.378,5.057,1.243,0.967,0.15,0.825,0.44,0.448,0.343,0.276,0.356,0.266,0.466,0.398,0.571,0.432,0.488,6.0,0.2489365,6.947,3.426,1.1,0.546896,7.16724867,46.084671,94.927414,53.916466
118,6.301029995663981,26.793,15.794,1.531,0.607,0.15,0.095,0.107,0.464,0.658,0.234,0.1,0.276,0.843,0.439,0.222,0.348,0.538,6.0,0.2003056,6.883,3.156,1.061,0.518123,8.24543246,59.201527,82.680496,45.064213
119,6.0,70.869,8.454,2.997,0.861,0.15,0.129,0.521,0.371,0.562,0.157,0.473,0.224,0.757,0.231,0.34,0.305,0.379,4.0,0.2487547,7.002,3.29,1.048,0.529101,5.79174599,26.423286,100.318962,84.49115
120,5.361510743045363,22.649,6.281,2.234,0.727,0.148,0.592,0.508,0.294,0.407,0.206,0.378,0.213,0.568,0.236,0.465,0.416,0.501,6.0,0.2848061,7.667,4.533,1.056,0.555391,7.82617476,59.441757,108.898735,85.346054
121,5.3979400086720375,387.511,4.657,2.855,0.981,0.143,0.909,0.46,0.447,0.255,0.277,0.313,0.319,0.309,0.319,0.606,0.471,0.493,6.0,0.1922365,8.508,4.6,1.02,0.612902,3.18991962,68.167999,134.400909,98.145752
122,6.214670164989233,10.942,6.511,3.745,0.516,0.143,0.623,0.455,0.472,0.489,0.24,0.452,0.288,0.565,0.314,0.517,0.415,0.522,6.0,0.5441208,7.533,4.771,1.034,0.439356,7.05787152,68.679741,136.952454,122.848724
