mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
113,5.476253533188435,12.52,7.574,3.536,0.53,0.142,0.448,0.404,0.42,0.405,0.155,0.353,0.244,0.453,0.268,0.424,0.369,6.0,0.4092986,7.789,4.353,1.019,0.464153,3.58480216,92.869415,135.778519,104.215805
114,5.671620396561262,195.576,97.401,49.055,0.572,0.142,0.782,0.059,0.06,0.003,0.003,0.012,0.013,0.019,0.022,0.3,0.263,7.0,0.1324149,8.311,4.567,1.044,0.624861,3.76994936,70.12648,158.295639,116.208954
115,5.111259039317107,259.691,10.836,3.612,0.947,0.142,0.941,0.377,0.38,0.398,0.21,0.304,0.28,0.406,0.335,0.566,0.513,5.0,0.2612289,7.229,4.667,1.051,0.517481,5.420627,72.07444,161.617844,121.268333
116,7.501689446210399,210.595,10.756,3.717,0.936,0.15,0.606,0.524,0.474,0.619,0.262,0.447,0.388,0.635,0.31,0.535,0.478,4.0,0.2472891,6.989,3.627,1.071,0.503031,5.78473234,51.86478,89.125473,52.310143
117,5.698970004336019,269.4,16.027,1.766,0.938,0.15,0.398,0.452,0.472,0.847,0.23,0.485,0.28,1.224,0.257,0.441,0.484,7.0,0.2048552,7.213,3.594,1.127,0.523162,8.05216109,70.734741,114.253448,70.320007
118,6.301029995663981,295.575,4.16,1.602,0.981,0.15,0.662,0.46,0.36,0.241,0.295,0.292,0.261,0.283,0.39,0.494,0.459,5.0,0.1262778,7.144,3.391,1.055,0.511252,5.81224161,66.271255,106.921906,57.770409
119,6.0,20.444,3.343,1.959,0.794,0.15,0.549,0.405,0.447,0.357,0.281,0.296,0.344,0.302,0.436,0.467,0.41,6.0,0.2445915,6.968,3.425,1.059,0.495231,5.88703155,41.946339,119.878815,71.43412
120,5.361510743045363,255.586,27.747,1.116,0.899,0.147,0.967,0.556,0.238,0.583,0.193,0.57,0.15,0.698,0.225,0.587,0.583,7.0,0.2518328,7.956,4.599,1.052,0.595669,6.15612399,81.231239,114.263283,110.826256
121,5.3979400086720375,158.419,4.639,2.597,0.956,0.143,0.446,0.438,0.392,0.348,0.163,0.321,0.241,0.595,0.219,0.426,0.334,8.0,0.3260345,7.956,4.466,1.019,0.554428,2.79649118,55.076778,119.619362,88.864838
122,6.214670164989233,459.892,9.782,2.544,0.974,0.143,0.855,0.455,0.311,0.362,0.102,0.362,0.17,0.487,0.157,0.54,0.443,9.0,0.2082609,8.642,5.105,1.034,0.709544,3.19681302,63.529266,110.958542,99.838058
123,5.276544327964814,42.903,21.015,4.817,0.624,0.143,0.087,0.059,0.499,0.003,0.002,0.005,0.2,0.008,0.304,0.215,0.144,6.0,0.2256274,8.527,4.87,1.043,0.654044,5.39143915,94.275116,143.841125,92.309677
124,5.251811972993799,101.449,26.894,1.508,0.781,0.144,0.073,0.518,0.296,0.49,0.112,0.494,0.166,0.42,0.218,0.296,0.234,7.0,0.2434714,8.504,4.836,1.047,0.673545,6.06242778,61.251587,122.88195,105.024078
125,6.301029995663981,38.407,7.058,1.392,0.82,0.141,0.544,0.373,0.342,0.2,0.118,0.248,0.182,0.294,0.234,0.42,0.312,8.0,0.1991659,9.408,4.668,1.037,0.684001,7.00639849,86.800781,113.745346,129.321899
126,5.309803919971486,410.786,223.172,11.248,0.637,0.14,0.385,0.595,0.508,0.888,0.402,0.521,0.477,0.849,0.49,0.496,0.556,6.0,0.4136604,8.508,4.434,1.045,0.507619,7.17245518,75.144684,147.603638,119.594711
