mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,74,75,76,84,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
60,5.300162274132754,22.898,7.855,1.401,0.712,0.148,0.569,0.348,0.433,0.473,0.21,0.149,0.48,0.247,0.225,0.453,0.275,0.26,222.965,0.45,0.277,0.317,0.329,8.0,0.0005123,7.122,4.181,1.0,0.526941,4.34943152,85.011444,173.464798,119.401855
61,6.823908740944319,18.467,6.106,1.157,0.718,0.153,0.487,0.324,0.403,0.525,0.222,0.153,0.439,0.25,0.21,0.67,0.267,0.25,141.198,0.405,0.3,0.3,0.396,4.0,0.000477,7.088,5.38,1.0,0.491907,5.97906768,78.228127,178.499298,96.860382
62,6.508638306165727,18.712,6.01,1.114,0.724,0.153,0.481,0.319,0.348,0.7,0.202,0.183,0.477,0.239,0.2,0.9,0.246,0.292,139.998,0.383,0.362,0.306,0.479,7.0,0.0005162,7.572,2.973,1.0,0.530578,4.16363083,96.639145,153.337692,94.268036
63,7.301029995663981,21.196,6.435,1.608,0.725,0.149,0.559,0.33,0.36,0.462,0.313,0.194,0.474,0.266,0.23,0.478,0.407,0.285,180.827,0.416,0.323,0.323,0.39,7.0,0.0004919,7.629,3.11,1.0,0.51375,4.60732479,78.290359,156.282196,115.98111
64,6.0,17.958,6.848,1.418,0.685,0.151,0.506,0.34,0.376,0.719,0.289,0.324,0.522,0.266,0.256,0.693,0.392,0.468,158.149,0.408,0.444,0.348,0.517,5.0,0.000503,7.255,4.344,1.0,0.532767,6.78445124,72.11647,192.634308,108.797531
65,5.903089986991944,15.52,6.231,1.193,0.676,0.155,0.502,0.342,0.376,0.46,0.332,0.119,0.443,0.292,0.2,0.447,0.329,0.226,122.658,0.407,0.304,0.311,0.334,3.0,0.0004233,6.758,3.042,1.0,0.461005,4.71767208,55.809746,185.893188,109.677094
66,5.600326278518962,18.543,6.027,1.207,0.719,0.153,0.533,0.332,0.362,0.688,0.278,0.221,0.512,0.272,0.213,0.81,0.257,0.36,141.42,0.409,0.395,0.332,0.476,5.0,0.0004777,7.394,3.247,1.0,0.527639,3.70738379,68.925751,139.917465,72.294609
67,6.0,15.74,6.175,1.228,0.68,0.155,0.49,0.33,0.35,0.651,0.313,0.154,0.488,0.277,0.182,0.749,0.27,0.297,124.1,0.39,0.373,0.316,0.439,6.0,0.000549,6.762,3.11,1.0,0.499674,3.34416683,66.484741,147.644257,84.557381
68,5.400116927926312,17.21,5.008,1.51,0.725,0.153,0.468,0.324,0.407,0.792,0.227,0.401,0.496,0.241,0.319,0.803,0.264,0.342,119.752,0.4,0.473,0.352,0.47,3.0,0.0004728,7.662,3.212,1.0,0.527684,2.77370624,60.22422,153.701126,71.632721
69,6.102372908709558,23.893,5.474,1.26,0.78,0.151,0.542,0.301,0.382,0.505,0.295,0.138,0.472,0.259,0.199,0.446,0.315,0.234,167.805,0.408,0.313,0.31,0.332,4.0,0.0004729,7.768,2.973,1.0,0.538858,4.38312634,83.136139,163.616608,87.257408
70,7.301029995663981,15.331,7.796,1.353,0.626,0.154,0.487,0.397,0.361,0.361,0.194,0.128,0.411,0.264,0.193,0.417,0.253,0.224,150.8,0.415,0.228,0.289,0.298,4.0,0.0004843,6.594,4.515,1.0,0.441114,2.6798909,60.89534,168.769226,106.570625
71,7.397940008672037,18.892,7.856,0.927,0.683,0.151,0.53,0.42,0.293,0.632,0.181,0.134,0.488,0.278,0.166,0.803,0.224,0.223,173.213,0.414,0.316,0.311,0.417,3.0,0.0004961,6.83,3.11,1.0,0.5106,4.82874557,81.961449,154.773941,99.054695
72,5.096910013008056,22.77,2.375,1.821,0.844,0.15,0.601,0.494,0.481,0.697,0.205,0.179,0.591,0.292,0.261,0.653,0.336,0.322,99.869,0.525,0.361,0.381,0.437,8.0,0.0004885,6.665,3.042,1.0,0.521422,8.32499049,101.083267,140.096863,111.483505
73,7.472284193781353,17.926,2.437,1.046,0.837,0.165,0.548,0.492,0.441,0.697,0.201,0.168,0.556,0.253,0.283,0.515,0.268,0.259,64.981,0.494,0.356,0.364,0.347,6.0,0.0004611,5.27,4.669,1.0,0.456856,5.46009106,38.506985,154.354401,181.146362
74,7.657577319177793,12.242,7.787,0.452,0.598,0.16,0.494,0.456,0.364,0.271,0.259,0.084,0.35,0.344,0.144,0.329,0.343,0.181,104.376,0.438,0.205,0.279,0.285,8.0,0.0004668,5.838,4.454,1.0,0.388459,11.4294121,59.540085,95.799118,27.887085
75,5.985479461242076,13.686,8.329,2.072,0.568,0.153,0.573,0.4,0.451,0.353,0.209,0.416,0.434,0.28,0.346,0.399,0.324,0.32,159.612,0.475,0.326,0.353,0.348,11.0,0.0004467,6.651,2.529,1.0,0.433125,12.3851112,43.773872,86.43689,65.667595
76,6.638272163982407,15.419,3.886,1.124,0.755,0.154,0.608,0.385,0.38,0.542,0.533,0.159,0.54,0.384,0.207,0.678,0.661,0.228,81.62,0.458,0.411,0.377,0.522,6.0,0.0004688,6.129,4.712,1.0,0.432461,3.72281401,79.888794,116.041061,81.227768
