mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
87,7.318758762624412,7.89,34.959,16.901,3.553,0.631,0.16,0.03,0.48,0.371,0.421,0.001,0.025,0.008,0.275,0.195,0.34,0.149,10.0,0.2290836,6.411,3.094,1.194,0.429895,10.8835801,82.682091,87.634499,52.567314
88,8.096910013008056,3.62,12.499,5.503,1.705,0.634,0.159,0.563,0.465,0.486,0.714,0.365,0.305,0.364,0.363,0.396,0.399,0.462,7.0,0.1701756,6.506,2.945,1.123,0.430196,8.92826162,56.16991,95.566101,69.654045
89,6.94692155651658,2.11,250.8,226.958,2.627,0.522,0.159,0.718,0.321,0.392,0.656,0.252,0.769,0.315,0.417,0.187,0.229,0.559,8.0,0.1899941,6.483,3.299,1.143,0.403492,9.15403551,70.74514,76.274292,55.330929
90,6.665546248849069,7.89,34.724,7.688,1.859,0.784,0.157,0.058,0.485,0.452,0.014,0.024,0.162,0.185,0.252,0.295,0.257,0.066,6.0,0.1606516,6.454,3.066,1.177,0.408489,9.30571174,61.366402,106.58239,100.277611
91,6.906578314837765,8.31,21.125,3.671,1.24,0.811,0.156,0.516,0.357,0.388,0.283,0.206,0.475,0.26,0.341,0.315,0.319,0.321,7.0,0.114163,6.177,3.522,1.176,0.442357,10.5667784,110.032562,110.313911,85.072266
92,5.932557157223619,5.65,418.297,136.842,4.719,0.747,0.153,0.784,0.425,0.447,0.923,0.469,0.233,0.426,0.306,0.226,0.469,0.542,10.0,0.1009062,6.785,4.194,1.15,0.470092,11.7372634,79.699417,111.874725,71.153709
93,7.173925197299173,5.8,11.973,7.142,2.031,0.566,0.153,0.512,0.422,0.465,0.564,0.217,0.425,0.297,0.402,0.353,0.268,0.402,14.0,0.1614694,6.743,4.514,1.072,0.435851,6.28831128,85.30558,109.18322,73.303459
94,7.769551078621726,9.75,322.683,3.842,1.406,0.984,0.151,0.637,0.306,0.409,0.605,0.11,0.198,0.171,0.234,0.144,0.228,0.304,10.0,0.1765317,6.982,4.716,1.183,0.498295,10.174172,110.237381,104.255035,117.123299
95,5.823908740944319,3.28,60.318,14.142,2.795,0.781,0.152,0.117,0.512,0.441,0.039,0.286,0.328,0.389,0.346,0.364,0.343,0.218,14.0,0.1835581,7.53,4.378,1.174,0.459435,12.633527,100.416847,114.391678,127.046104
96,5.881404634776238,8.58,134.746,15.543,4.49,0.871,0.151,0.106,0.613,0.355,0.033,0.395,0.239,0.491,0.292,0.439,0.348,0.222,12.0,0.0998846,6.897,4.781,1.093,0.500475,4.08831781,90.454697,1001.120361,88.774017
97,6.218244625347531,1.63,296.509,5.741,1.402,0.976,0.156,0.641,0.41,0.46,0.624,0.181,0.374,0.28,0.347,0.23,0.257,0.393,11.0,0.0767181,6.392,4.514,1.087,0.455809,8.46678492,84.862885,1026.755737,90.776764
98,6.471083299722345,4.46,391.68,12.241,1.524,0.966,0.151,0.683,0.496,0.425,0.611,0.304,0.488,0.389,0.375,0.38,0.316,0.468,12.0,0.0795207,7.544,4.651,1.149,0.510486,9.9348077,91.64817,103.659721,72.735672
99,6.586700235918748,0.36,295.29,4.791,1.34,0.98,0.165,0.903,0.592,0.441,0.999,0.27,0.167,0.341,0.224,0.396,0.253,0.479,4.0,0.0526602,4.726,4.671,1.028,0.330958,4.43444903,87.964401,980.442505,90.063782
100,6.698970004336019,9.6,12.02,3.7,0.822,0.727,0.168,0.587,0.413,0.264,0.348,0.34,0.209,0.309,0.162,0.324,0.186,0.299,9.0,0.2248785,5.09,3.357,1.032,0.361484,4.37435664,66.109528,90.221001,49.495708
101,6.6020599913279625,5.08,11.046,3.679,1.043,0.701,0.168,0.587,0.395,0.266,0.467,0.317,0.309,0.297,0.224,0.289,0.266,0.365,9.0,0.1467985,5.015,3.302,1.04,0.371909,5.80707464,42.252056,98.946335,50.037102
102,6.070581074285707,9.02,197.68,4.909,1.483,0.969,0.162,0.433,0.415,0.425,0.61,0.391,0.113,0.312,0.199,0.339,0.212,0.371,9.0,0.148909,5.515,3.169,1.025,0.379489,3.85113147,45.995338,106.147415,81.964859
103,7.356547323513812,8.62,9.965,5.933,0.839,0.595,0.158,0.521,0.414,0.24,0.316,0.319,0.271,0.326,0.173,0.33,0.229,0.302,8.0,0.14208,5.62,3.319,1.052,0.370255,4.4533051,81.714165,99.038673,50.84634
104,7.00436480540245,6.08,327.105,3.2,1.793,0.985,0.167,0.925,0.412,0.351,0.955,0.323,0.195,0.265,0.236,0.31,0.127,0.491,4.0,0.1215394,5.244,3.887,1.017,0.364381,1.88277425,43.21899,105.41172,80.722511
105,6.920818753952375,8.62,359.976,4.643,1.534,0.983,0.167,0.93,0.436,0.402,1.024,0.555,0.198,0.381,0.229,0.333,0.227,0.592,8.0,0.1522764,5.605,2.586,1.026,0.399052,2.83736942,54.702869,81.539658,49.552757
