mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
85,7.481486060122112,17.541,4.727,0.638,0.766,0.16,0.522,0.392,0.372,0.438,0.292,0.461,0.304,0.338,0.374,0.304,0.429,0.397,6.0,0.1149576,6.227,3.196,1.144,0.442167,10.1354239,79.981934,87.099236,39.517574
86,7.356547323513812,16.277,5.168,0.854,0.73,0.159,0.529,0.418,0.389,0.53,0.249,0.395,0.3,0.343,0.354,0.352,0.445,0.391,10.0,0.1803497,6.328,3.054,1.125,0.447635,9.82556088,60.246815,100.27948,79.74128
87,7.318758762624412,293.866,10.408,1.388,0.961,0.159,0.801,0.367,0.396,0.947,0.141,0.269,0.204,0.292,0.312,0.329,0.521,0.452,5.0,0.1842713,6.255,2.979,1.19,0.418551,9.06397135,85.802696,80.33255,69.290771
88,8.096910013008056,15.089,5.565,1.346,0.686,0.159,0.549,0.441,0.459,0.646,0.299,0.388,0.332,0.355,0.368,0.376,0.483,0.444,10.0,0.1834408,6.827,3.196,1.146,0.449359,10.0535108,95.711121,109.213989,74.583801
89,6.94692155651658,10.424,7.571,1.123,0.545,0.159,0.48,0.519,0.441,0.419,0.224,0.154,0.401,0.278,0.397,0.285,0.48,0.266,7.0,0.2172224,6.217,3.094,1.123,0.38263,2.79092953,76.727562,102.942062,60.66436
90,6.665546248849069,16.98,5.179,1.334,0.723,0.156,0.589,0.436,0.416,0.34,0.229,0.318,0.334,0.287,0.371,0.278,0.48,0.296,11.0,0.1493128,6.434,3.134,1.176,0.420163,9.17917752,90.588379,94.649872,66.326797
91,6.906578314837765,20.407,4.483,1.147,0.784,0.156,0.546,0.411,0.361,0.329,0.204,0.353,0.277,0.279,0.336,0.259,0.439,0.295,9.0,0.1092599,5.977,3.754,1.178,0.44689,9.76171871,58.384621,100.348503,102.721146
92,5.932557157223619,218.207,5.992,2.045,0.964,0.153,0.891,0.49,0.298,0.997,0.267,0.156,0.331,0.174,0.385,0.155,0.56,0.473,12.0,0.1079924,6.801,4.085,1.154,0.456777,11.3830307,90.063477,103.325127,98.498207
93,7.173925197299173,250.571,8.129,4.816,0.951,0.153,0.803,0.396,0.161,0.964,0.242,0.134,0.266,0.088,0.283,0.074,0.453,0.447,9.0,0.1323444,7.214,4.242,1.072,0.476092,5.73792453,90.826256,94.242889,113.926239
94,7.769551078621726,25.343,4.291,1.164,0.823,0.151,0.612,0.418,0.399,0.405,0.221,0.321,0.287,0.294,0.359,0.263,0.476,0.316,13.0,0.173207,7.363,4.989,1.185,0.498189,9.97704111,91.937355,109.731339,76.73822
95,5.823908740944319,299.663,19.224,2.178,0.933,0.151,0.939,0.53,0.388,1.055,0.284,0.308,0.377,0.341,0.353,0.345,0.619,0.549,10.0,0.1810603,7.29,4.542,1.18,0.478924,7.54820666,66.281792,127.070152,104.439194
96,5.881404634776238,357.771,8.381,1.034,0.974,0.151,0.57,0.474,0.344,0.501,0.26,0.267,0.328,0.297,0.38,0.25,0.463,0.343,8.0,0.1314348,7.182,4.502,1.108,0.490158,4.59098549,109.072762,135.355835,77.678017
97,6.218244625347531,17.849,5.189,1.701,0.721,0.156,0.609,0.429,0.485,0.359,0.369,0.312,0.345,0.339,0.428,0.332,0.507,0.347,9.0,0.1191113,6.297,4.582,1.134,0.439723,5.61136326,113.588135,986.123718,96.651337
98,6.471083299722345,32.278,4.772,0.766,0.854,0.151,0.535,0.362,0.412,0.332,0.19,0.262,0.259,0.263,0.317,0.244,0.436,0.261,16.0,0.1172465,7.392,4.507,1.151,0.541427,10.9055321,85.350632,125.378777,75.096344
99,6.586700235918748,25.84,6.726,0.369,0.785,0.165,0.052,0.513,0.339,0.014,0.038,0.012,0.25,0.089,0.368,0.194,0.301,0.021,4.0,0.047145,4.552,4.678,1.05,0.328951,4.71493386,58.781128,992.181946,105.072266
100,6.698970004336019,8.9,4.485,0.636,0.635,0.168,0.578,0.444,0.245,0.283,0.307,0.344,0.315,0.192,0.306,0.244,0.422,0.312,8.0,0.127038,4.767,3.694,1.031,0.326009,3.20086986,61.203823,95.064713,43.321453
101,6.6020599913279625,266.687,4.257,1.367,0.979,0.168,0.893,0.438,0.284,0.884,0.42,0.145,0.382,0.162,0.383,0.216,0.538,0.483,9.0,0.2040554,4.775,3.031,1.04,0.354282,4.92833818,63.805752,122.845139,29.939102
102,6.070581074285707,193.772,23.808,10.459,0.85,0.162,0.3,0.037,0.631,0.445,0.225,0.001,0.03,0.019,0.019,0.079,0.323,0.224,6.0,0.1703219,5.792,3.27,1.025,0.394007,2.15343788,45.141357,86.110298,47.185513
103,7.356547323513812,262.589,4.419,1.893,0.977,0.158,0.565,0.361,0.355,0.538,0.161,0.223,0.214,0.271,0.209,0.282,0.427,0.307,8.0,0.1373646,6.402,3.215,1.051,0.424197,4.97865085,38.716373,137.044296,37.292057
104,7.00436480540245,198.083,3.06,2.309,0.974,0.167,0.296,0.287,0.333,0.229,0.221,0.189,0.201,0.226,0.178,0.252,0.305,0.213,7.0,0.1368611,5.536,3.82,1.017,0.369781,2.92814621,81.672668,138.875641,73.329956
105,6.920818753952375,103.903,9.69,2.127,0.898,0.167,0.168,0.558,0.316,0.09,0.608,0.142,0.558,0.187,0.585,0.175,0.347,0.28,7.0,0.1389044,5.417,2.415,1.026,0.408455,3.50187315,25.159033,72.170616,30.209597
106,7.638272163982407,233.333,6.281,2.787,0.963,0.167,0.927,0.371,0.298,0.864,0.562,0.041,0.341,0.093,0.308,0.139,0.532,0.489,8.0,0.072555,5.2,2.381,1.032,0.410407,4.26838053,63.543324,105.638977,43.96833
107,7.455931955649724,298.128,3.561,2.525,0.98,0.162,0.965,0.489,0.348,1.017,0.328,0.232,0.314,0.244,0.342,0.256,0.6,0.526,5.0,0.1869935,5.644,2.279,1.028,0.379258,3.59057377,52.70393,70.052521,41.937885
108,7.698970004336019,14.869,4.329,1.127,0.732,0.162,0.618,0.451,0.435,0.435,0.344,0.116,0.321,0.201,0.299,0.252,0.501,0.298,8.0,0.1277834,5.222,3.08,1.031,0.408031,3.7753371,60.064194,94.599968,52.287693
