mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
84,6.899629454882437,2.26,215.71,8.699,0.877,0.957,0.159,0.844,0.52,0.334,0.852,0.298,0.228,0.372,0.247,0.479,0.191,0.566,0.459,0.497,9.0,0.1717753,6.083,2.917,1.085,0.37994,3.30032808,56.394505,94.385292,56.555008
85,7.481486060122112,6.37,225.289,8.21,0.835,0.961,0.159,0.853,0.546,0.407,0.988,0.259,0.617,0.354,0.379,0.366,0.358,0.602,0.621,0.513,8.0,0.1086258,7.024,3.1,1.149,0.43326,9.84032928,79.352219,87.63517,54.45689
86,7.356547323513812,9.03,17.143,4.319,0.792,0.77,0.159,0.516,0.394,0.363,0.503,0.208,0.593,0.267,0.378,0.333,0.356,0.424,0.435,0.372,7.0,0.1420274,6.426,2.951,1.144,0.44741,10.5004789,67.176277,104.129471,57.072983
87,7.318758762624412,5.27,287.166,223.586,2.475,0.56,0.159,0.562,0.672,0.401,0.794,0.609,0.217,0.719,0.297,0.51,0.279,0.545,0.54,0.493,9.0,0.2002507,6.877,2.957,1.182,0.422771,10.6337368,63.291451,109.595856,56.846214
88,8.096910013008056,5.17,13.717,5.659,1.461,0.658,0.159,0.566,0.479,0.488,0.694,0.351,0.316,0.371,0.34,0.409,0.35,0.511,0.453,0.429,7.0,0.1617882,6.778,3.128,1.146,0.43965,9.05772796,96.216034,99.241745,72.807373
89,6.94692155651658,7.33,174.121,9.44,0.704,0.945,0.159,0.386,0.511,0.391,0.269,0.42,0.202,0.412,0.294,0.52,0.291,0.429,0.297,0.37,8.0,0.2304987,6.123,3.054,1.105,0.38997,3.8474163,58.532745,123.366188,55.880234
90,6.665546248849069,3.29,16.206,5.479,1.387,0.702,0.156,0.583,0.431,0.438,0.352,0.224,0.383,0.329,0.32,0.361,0.306,0.484,0.32,0.362,10.0,0.1483644,6.3,3.032,1.17,0.418284,10.3555292,78.938164,115.671356,57.908443
91,6.906578314837765,3.28,224.408,13.384,2.01,0.936,0.156,0.766,0.481,0.364,0.671,0.364,0.237,0.394,0.244,0.427,0.247,0.537,0.424,0.446,10.0,0.1105744,6.291,3.494,1.174,0.445118,10.0001363,86.199463,121.347801,60.95232
92,5.932557157223619,9.99,21.678,4.776,1.26,0.782,0.153,0.568,0.488,0.382,0.35,0.208,0.35,0.305,0.294,0.357,0.274,0.479,0.303,0.347,7.0,0.102631,7.103,3.949,1.17,0.461711,9.84686853,91.168304,139.471832,80.154732
93,7.173925197299173,6.25,31.79,12.21,5.195,0.646,0.153,0.047,0.437,0.345,0.092,0.384,0.241,0.385,0.302,0.169,0.063,0.276,0.239,0.085,10.0,0.0558003,6.756,4.39,1.074,0.479674,7.36504626,81.031197,137.412827,109.844841
94,7.769551078621726,2.14,24.876,3.89,1.507,0.822,0.151,0.566,0.354,0.372,0.363,0.205,0.339,0.252,0.277,0.33,0.252,0.43,0.302,0.318,8.0,0.1669879,6.536,4.82,1.144,0.492123,11.0936579,91.516388,92.973846,93.185379
95,5.823908740944319,0.45,144.225,11.929,5.744,0.891,0.151,0.334,0.456,0.314,0.17,0.25,0.102,0.332,0.144,0.307,0.22,0.368,0.174,0.238,9.0,0.1489925,7.066,4.338,1.13,0.479282,12.3192684,105.023712,117.185699,150.387711
96,5.881404634776238,7.46,19.268,8.184,1.636,0.662,0.151,0.538,0.382,0.421,0.355,0.206,0.394,0.259,0.369,0.307,0.341,0.447,0.318,0.343,10.0,0.1663042,7.708,4.712,1.098,0.479438,7.34921926,96.032074,970.163818,92.739548
97,6.218244625347531,4.48,19.146,4.765,1.934,0.741,0.156,0.582,0.43,0.488,0.388,0.308,0.393,0.319,0.401,0.407,0.391,0.5,0.363,0.407,10.0,0.1139286,6.812,4.439,1.11,0.457766,8.53433442,83.745949,978.096008,84.337547
98,6.471083299722345,5.3,69.861,25.437,2.179,0.717,0.151,0.048,0.504,0.282,0.299,0.002,0.126,0.399,0.219,0.319,0.238,0.278,0.143,0.191,11.0,0.0775737,7.094,4.513,1.147,0.516085,11.2064501,89.173912,99.395844,79.151199
99,6.586700235918748,6.86,258.578,67.617,5.174,0.78,0.165,0.719,0.106,0.466,0.844,0.004,0.091,0.017,0.382,0.053,0.399,0.43,0.313,0.365,6.0,0.0145449,4.954,4.712,1.051,0.333175,4.63127851,60.100315,983.177856,92.593628
100,6.698970004336019,2.46,166.384,5.964,0.72,0.961,0.168,0.308,0.368,0.396,0.445,0.239,0.176,0.279,0.23,0.269,0.264,0.357,0.287,0.258,8.0,0.0978809,5.057,3.424,1.029,0.36818,4.21845859,22.667393,53.341339,64.378067
101,6.6020599913279625,8.61,12.127,3.584,0.896,0.73,0.168,0.581,0.386,0.216,0.387,0.332,0.251,0.287,0.166,0.293,0.193,0.394,0.324,0.337,5.0,0.1543057,5.302,3.1,1.041,0.374239,4.12959816,42.310265,74.353127,39.948521
