mol_id,PKI,0,1,2,3,5,8,9,10,20,21,32,75,76,100,101
105,8.070581074285707,59.878,2.934,1.821,0.926,0.154,0.112,0.335,0.427,0.225,0.244,0.308,0.32,0.327,0.291,0.184
106,8.102372908709558,187.371,4.348,1.56,0.969,0.157,0.417,0.408,0.487,0.221,0.178,0.302,0.381,0.49,0.437,0.316
107,8.207608310501746,241.873,121.738,4.154,0.658,0.16,0.352,0.315,0.486,0.378,0.274,0.351,0.351,0.435,0.384,0.37
109,8.327902142064282,217.078,3.541,2.582,0.973,0.151,0.956,0.478,0.375,0.281,0.204,0.277,0.435,0.258,0.603,0.492
110,8.619788758288394,14.979,3.191,1.36,0.767,0.153,0.565,0.445,0.412,0.312,0.093,0.195,0.42,0.155,0.474,0.314
113,5.337242168318426,107.118,4.077,0.084,0.963,0.177,0.108,0.451,0.486,0.458,0.451,0.332,0.461,0.455,0.349,0.318
114,5.508638306165727,115.873,9.759,0.673,0.917,0.177,0.159,0.583,0.236,0.365,0.044,0.098,0.469,0.1,0.326,0.202
115,5.537602002101044,188.353,13.686,2.28,0.922,0.167,0.282,0.444,0.387,0.218,0.09,0.19,0.296,0.239,0.371,0.235
116,5.585026652029182,96.309,17.582,1.976,0.831,0.165,0.07,0.508,0.321,0.323,0.151,0.195,0.413,0.259,0.3,0.223
117,5.619788758288394,19.976,2.519,0.608,0.865,0.163,0.562,0.38,0.308,0.446,0.304,0.321,0.411,0.375,0.417,0.371
118,5.657577319177793,211.5,2.164,0.746,0.986,0.177,0.96,0.515,0.341,0.497,0.081,0.148,0.398,0.159,0.605,0.527
119,5.6777807052660805,10.757,2.03,0.454,0.812,0.177,0.6,0.445,0.465,1.026,0.055,0.169,0.492,0.196,0.504,0.517
120,5.698970004336019,11.251,2.5,0.625,0.783,0.172,0.612,0.441,0.362,0.725,0.105,0.157,0.464,0.227,0.472,0.446
