mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
229,8.721246399047171,10.0,0.2099237,8.075,4.42,1.041,0.622128,7.39211881,76.283974,137.705093,123.918869
230,7.602059991327962,5.0,0.3247112,6.255,4.375,1.051,0.438445,6.88456495,30.857769,120.747635,118.520912
231,8.795880017344075,5.0,0.1823825,7.597,3.415,1.041,0.617846,5.70614216,25.787579,107.761093,104.922691
233,8.337242168318426,5.0,0.1437966,7.056,3.415,1.037,0.559633,1.09616161,59.530361,123.064682,96.912628
234,6.931814138253839,7.0,0.2715441,6.616,4.152,1.048,0.547463,4.45405237,58.57019,121.745178,92.338264
235,7.173925197299173,4.0,0.2313117,6.383,3.281,1.037,0.516871,2.14343506,59.872852,151.016983,96.94355
236,7.251811972993799,5.0,0.1349543,6.576,3.348,1.031,0.546584,3.49526903,50.619881,61.317352,113.050461
237,7.366531544420414,6.0,0.1791107,7.244,3.281,1.033,0.576356,5.64224634,96.761574,130.545563,152.997833
238,8.136677139879543,6.0,0.3606343,5.94,4.24,1.047,0.383436,0.302811318,53.007774,109.888794,95.074867
239,8.18045606445813,6.0,0.2209359,6.795,4.42,1.041,0.549591,5.34825305,37.905083,115.637253,115.238808
240,8.173925197299173,5.0,0.1745297,6.746,4.353,1.046,0.520078,2.74617611,66.739761,114.433144,110.414383
241,7.886056647693163,5.0,0.2020712,7.167,4.286,1.039,0.610933,4.59307626,58.23439,127.675812,121.681198
242,8.3767507096021,5.0,0.1993586,6.78,3.348,1.045,0.582075,5.24387473,42.24791,105.255409,109.964584
243,8.050609993355087,3.0,0.2175682,6.896,3.348,1.041,0.570777,4.18963209,64.559555,108.857445,96.982124
244,9.022276394711152,5.0,0.1770968,7.81,4.509,1.041,0.758375,6.03245006,72.499969,142.744629,125.613564
245,8.657577319177793,9.0,0.1291998,7.589,4.509,1.05,0.643169,4.00481927,54.349419,129.401642,111.70961
246,8.2518119729938,7.0,0.3913015,6.999,5.577,1.037,0.464038,5.68677694,79.521072,120.308945,172.194763
247,7.958607314841775,10.0,0.3042521,7.424,4.717,1.059,0.626988,6.22022582,62.456394,119.021469,93.649803
248,7.366531544420414,5.0,0.1962465,7.796,5.377,1.035,0.689322,2.39374868,78.561562,112.069611,161.263611
249,8.638272163982407,6.0,0.1630239,7.805,4.576,1.039,0.664165,5.72665802,70.565582,105.406532,104.826019
250,8.823908740944319,7.0,0.2460608,8.538,4.375,1.048,0.626924,6.78482628,64.169769,143.178146,128.053818
251,8.42021640338319,8.0,0.1892466,7.137,4.487,1.025,0.622927,2.08742374,54.555767,128.852966,97.568375
252,8.229147988357855,6.0,0.206186,7.43,4.702,1.037,0.649879,3.94421411,64.004791,200.511612,106.799072
253,8.468521082957745,3.0,0.3554842,6.987,5.175,1.038,0.45054,5.9852507,80.034164,160.379089,144.632065
