mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
79,7.136677139879544,0.52,329.217,8.748,2.407,0.967,0.161,0.864,0.488,0.207,0.924,0.255,0.093,0.348,0.12,0.287,0.135,0.519,0.424,0.42,9.0,0.1008257,5.133,5.067,1.041,0.379407,5.9962186,65.093513,104.23687,168.983276
80,7.619788758288394,9.89,10.939,6.593,0.761,0.598,0.158,0.499,0.59,0.22,0.289,0.439,0.049,0.435,0.096,0.476,0.108,0.436,0.259,0.319,7.0,0.0497596,5.818,3.52,1.013,0.378605,2.27699731,93.963692,114.151138,71.556969
81,6.505845405981557,3.4,304.916,10.698,2.675,0.958,0.156,0.444,0.372,0.441,0.409,0.2,0.188,0.24,0.255,0.236,0.292,0.419,0.266,0.289,9.0,0.1143767,6.238,2.802,1.132,0.416549,8.6777809,89.821449,92.030563,67.774406
82,7.292429823902063,9.34,10.091,8.962,0.817,0.508,0.16,0.557,0.495,0.247,0.386,0.236,0.096,0.32,0.131,0.29,0.159,0.433,0.239,0.298,7.0,0.1602331,5.958,3.076,1.023,0.391131,2.79841309,68.442085,111.655212,82.220558
83,6.767003889607846,5.99,10.364,7.822,0.693,0.549,0.16,0.481,0.517,0.363,0.236,0.393,0.343,0.406,0.314,0.445,0.294,0.454,0.324,0.365,10.0,0.1022129,5.66,3.064,1.056,0.380314,2.19666985,71.991783,86.74942,70.396347
84,6.899629454882437,4.26,12.236,8.168,0.711,0.58,0.159,0.525,0.5,0.352,0.288,0.224,0.258,0.343,0.249,0.34,0.249,0.459,0.257,0.327,10.0,0.1254908,6.214,3.271,1.061,0.391693,3.61570177,76.677574,108.629433,65.952744
85,7.481486060122112,1.38,158.209,8.743,2.209,0.935,0.159,0.324,0.458,0.405,0.216,0.5,0.123,0.444,0.191,0.536,0.239,0.396,0.28,0.314,9.0,0.1116684,6.243,3.094,1.071,0.420278,6.27492072,65.646835,63.522804,62.947952
86,7.356547323513812,6.33,205.358,6.344,2.624,0.958,0.16,0.902,0.412,0.413,0.806,0.526,0.188,0.388,0.281,0.434,0.193,0.576,0.507,0.475,9.0,0.1560412,6.333,3.094,1.126,0.459343,9.88734098,104.389938,91.86219,91.261047
87,7.318758762624412,5.08,291.112,36.815,3.102,0.879,0.159,0.591,0.061,0.359,0.59,0.009,0.06,0.02,0.138,0.031,0.18,0.337,0.22,0.252,8.0,0.1534774,6.613,3.14,1.179,0.419407,11.4869811,61.681183,109.501175,63.866909
88,8.096910013008056,0.68,103.287,13.315,3.363,0.861,0.159,0.095,0.529,0.505,0.008,0.028,0.543,0.491,0.453,0.482,0.457,0.377,0.193,0.322,6.0,0.1926081,6.704,2.963,1.158,0.43356,10.2385985,85.969643,84.57872,68.789169
