mol_id,PKI,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
85,7.481486060122112,9.0,0.1176697,6.392,3.032,1.113,0.424523,9.29926727,76.522041,86.601562,61.190605
86,7.356547323513812,7.0,0.1625932,6.687,3.02,1.102,0.435655,10.473761,76.222153,90.139175,66.145409
87,7.318758762624412,13.0,0.1433276,6.53,2.877,1.154,0.432439,11.5748653,68.337776,104.100479,72.531723
88,8.096910013008056,10.0,0.1863975,6.463,3.094,1.134,0.447122,9.53637197,78.050552,102.739624,94.805344
89,6.94692155651658,10.0,0.1840133,6.567,3.305,1.151,0.400902,9.72429235,110.626236,124.761147,49.525932
90,6.665546248849069,9.0,0.1522715,6.268,2.917,1.168,0.410987,7.9050244,95.416862,91.052711,70.651131
91,6.906578314837765,13.0,0.1218158,6.545,3.63,1.169,0.453487,9.42848653,64.86927,108.017883,85.238182
92,5.932557157223619,7.0,0.1182457,6.627,4.342,1.129,0.455051,9.90159551,97.071503,107.099464,84.388931
93,7.173925197299173,12.0,0.0437541,6.682,4.44,1.072,0.489489,8.5013366,77.297119,101.519341,74.524422
94,7.769551078621726,11.0,0.1741852,6.508,4.947,1.179,0.492178,10.5819883,97.584885,107.067924,87.050842
95,5.823908740944319,14.0,0.1767058,7.056,4.672,1.175,0.471129,13.5061679,76.894913,136.984589,141.30217
96,5.881404634776238,8.0,0.191947,6.656,4.291,1.159,0.482431,3.29996828,82.720314,110.090851,55.794037
97,6.218244625347531,9.0,0.1076625,5.963,4.515,1.103,0.461442,6.27335266,64.623985,1018.718628,94.177452
98,6.471083299722345,11.0,0.0799728,7.225,4.582,1.156,0.520286,11.6492353,109.185822,131.276031,70.565491
99,6.586700235918748,5.0,0.0231865,4.786,4.507,1.051,0.330564,4.46211431,90.641052,1001.610291,102.674408
100,6.698970004336019,5.0,0.1653004,5.122,3.325,1.031,0.365472,3.84612138,31.48101,54.877403,44.855892
101,6.6020599913279625,8.0,0.0753735,5.255,3.236,1.038,0.375099,3.91553108,39.656399,93.733932,46.48518
102,6.070581074285707,7.0,0.2079775,6.002,2.998,1.027,0.39566,3.26851606,53.462997,84.357765,57.380432
103,7.356547323513812,6.0,0.1808875,5.512,3.351,1.052,0.398007,3.29855273,40.463764,95.59256,53.960205
104,7.00436480540245,5.0,0.1322579,5.773,3.82,1.016,0.37247,3.41398215,54.616055,127.889214,87.832954
105,6.920818753952375,7.0,0.1953393,5.424,2.177,1.025,0.395943,5.06249267,46.237213,70.932053,67.436607
106,7.638272163982407,7.0,0.0985866,5.389,2.417,1.03,0.409418,4.55691696,44.414616,87.473503,49.532936
107,7.455931955649724,7.0,0.1484427,5.594,2.383,1.029,0.386354,2.90394972,42.124153,95.17598,54.962662
108,7.698970004336019,8.0,0.1172084,5.524,3.317,1.03,0.41481,3.86423435,40.43055,126.657288,72.715172
109,6.1938200260161125,9.0,0.1325395,5.651,3.589,1.04,0.388085,2.77062029,31.995224,97.223686,62.027882
110,7.698970004336019,12.0,0.1131075,5.577,3.762,1.044,0.412264,7.53616927,60.325268,110.793594,34.090008
112,7.744727494896693,8.0,0.1878928,5.923,3.968,1.035,0.417531,1.9609431,62.101555,136.366531,49.289509
113,8.698970004336019,6.0,0.138575,6.081,4.492,1.048,0.440188,2.85380956,51.5462,117.092003,73.681801
114,8.045757490560675,14.0,0.2813262,6.791,4.321,1.103,0.464025,6.27293467,43.000854,139.286972,59.018993
115,8.698970004336019,10.0,0.1252296,6.187,5.46,1.03,0.438297,5.877752,69.398689,123.704376,103.054573
116,7.4089353929735005,7.0,0.0632167,5.627,4.431,1.024,0.411966,3.05064619,51.354122,105.731529,61.379921
117,8.096910013008056,3.0,0.1229555,5.643,3.317,1.036,0.401831,4.38759496,27.290272,99.69809,39.784542
118,8.045757490560675,5.0,0.1005386,6.076,3.215,1.039,0.419032,4.59306074,29.54661,93.438362,64.835312
119,8.301029995663981,8.0,0.1414735,5.888,3.215,1.037,0.439275,4.45894566,34.615147,102.523697,41.824455
120,8.397940008672037,10.0,0.1182907,5.932,4.187,1.08,0.444502,6.23680419,73.220444,116.746323,49.462589
121,8.096910013008056,7.0,0.1268237,5.484,4.377,1.019,0.396321,2.1127979,61.108875,118.499321,70.390999
122,7.522878745280337,10.0,0.204706,5.033,3.932,1.054,0.352263,5.09578735,62.913624,101.850227,35.876438
123,7.638272163982407,7.0,0.1172254,5.775,4.035,1.046,0.382656,2.93551665,55.795979,96.058449,46.416489
124,8.187086643357144,7.0,0.1776526,6.275,4.206,1.03,0.432563,4.87098622,48.31625,99.58139,48.919617
125,8.045757490560675,7.0,0.131224,6.267,4.756,1.028,0.45654,2.8070201,40.748558,124.716408,94.415985
