mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
91,7.886056647693163,0.03,6.468,5.858,0.969,0.486,0.155,0.436,0.533,0.358,0.285,0.082,0.365,0.155,0.428,0.185,0.442,0.278,0.389,7,0.019227,4.912,3.061,1.027,0.329194,8.41075565,51.377956,238.940369,86.039764
92,8.455931955649724,3.76,306.824,6.708,1.613,0.974,0.157,0.983,0.385,0.312,0.321,0.077,0.296,0.144,0.388,0.144,0.56,0.459,0.5,6,0.0905025,5.19,3.263,1.136,0.342172,7.36414377,47.75539,242.603058,66.190475
93,8.958607314841775,6.76,214.91,6.074,1.645,0.965,0.16,0.689,0.533,0.369,0.44,0.21,0.462,0.225,0.462,0.328,0.531,0.396,0.412,7,0.0462224,4.459,2.924,1.167,0.31356,10.5821498,45.580124,266.417114,74.545715
94,7.602059991327962,0.74,6.425,4.741,1.963,0.489,0.154,0.487,0.37,0.39,0.23,0.237,0.288,0.264,0.324,0.409,0.415,0.301,0.411,8,0.2852452,5.395,3.315,1.166,0.331434,10.5897508,77.658722,275.462463,100.164383
95,6.127843727251707,2.62,7.376,2.572,1.233,0.66,0.163,0.565,0.447,0.391,0.375,0.142,0.361,0.204,0.61,0.227,0.468,0.342,0.469,8,0.1536881,4.647,3.383,1.25,0.308541,10.8816617,49.539658,249.886215,50.769901
96,6.6777807052660805,1.92,205.046,98.483,2.646,0.67,0.167,0.653,0.173,0.438,0.059,0.25,0.105,0.321,0.05,0.326,0.421,0.259,0.276,10,0.0614491,4.339,3.247,1.26,0.307809,10.0674692,25.76062,238.319855,45.249603
97,6.806875401645538,5.13,234.164,4.312,2.04,0.974,0.156,0.798,0.469,0.416,0.475,0.231,0.412,0.269,0.422,0.3,0.561,0.531,0.554,10,0.0506817,5.212,4.374,1.237,0.394432,11.8234683,33.843803,290.649323,115.666985
98,6.91721462968355,9.39,37.218,15.908,2.053,0.674,0.151,0.049,0.529,0.377,0.002,0.202,0.275,0.277,0.622,0.471,0.318,0.261,0.371,8,0.0992951,6.215,4.193,1.322,0.440359,13.4892249,45.324722,310.296234,140.756989
99,6.920818753952375,7.64,382.112,116.111,1.26,0.765,0.151,0.49,0.295,0.413,0.235,0.132,0.219,0.215,0.132,0.253,0.399,0.218,0.252,10,0.1164218,6.032,4.181,1.328,0.461212,13.2448744,44.946068,270.922119,106.641861
100,7.67778070526608,0.35,58.322,30.405,2.182,0.642,0.163,0.07,0.045,0.472,0.005,0.008,0.013,0.136,0.021,0.236,0.196,0.026,0.096,11,0.1143404,4.477,3.52,1.195,0.310337,11.7324926,32.020378,246.207581,61.377174
