mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,19,20,21,31,32,75,76,100,101,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
78,8.337242168318426,3.54,79.77,71.474,4.529,0.512,0.151,0.161,0.159,0.37,0.163,0.111,0.202,0.104,0.263,0.081,0.361,0.23,0.159,0.176,7,0.1502867,6.294,4.135,1.089,0.396845,8.2604826,52.340462,278.01474,82.905869
79,7.0762380391713,6.94,258.669,144.877,1.548,0.639,0.162,0.555,0.925,0.39,0.61,0.551,0.306,0.751,0.271,0.537,0.238,0.623,0.489,0.446,8,0.2421081,6.278,3.047,1.17,0.436772,12.3603546,38.809605,926.932312,90.269348
80,9.522878745280336,8.57,10.362,4.827,0.959,0.642,0.152,0.416,0.367,0.35,0.569,0.254,0.074,0.271,0.143,0.396,0.208,0.378,0.299,0.352,8,0.0938307,5.732,3.916,1.095,0.403962,4.49635377,50.891525,242.141891,105.316208
81,10.0,5.11,249.913,6.361,0.903,0.972,0.154,0.776,0.447,0.297,0.985,0.312,0.073,0.334,0.131,0.375,0.161,0.506,0.457,0.519,6,0.1068733,5.684,4.12,1.165,0.366916,10.9761627,30.168564,228.710632,69.836464
82,8.958607314841775,3.74,10.641,5.368,0.927,0.628,0.152,0.483,0.368,0.312,0.646,0.262,0.102,0.283,0.151,0.343,0.199,0.388,0.337,0.481,7,0.1922147,5.989,4.018,1.116,0.414433,7.96774669,65.250366,262.988342,103.495529
83,8.309803919971486,5.22,8.969,5.147,0.882,0.598,0.154,0.432,0.37,0.303,0.414,0.243,0.067,0.27,0.129,0.369,0.153,0.369,0.241,0.339,9,0.101919,5.583,3.861,1.162,0.35764,10.9108287,55.323425,245.680313,85.845612
85,7.508638306165727,7.84,166.364,5.864,2.539,0.952,0.159,0.323,0.502,0.28,0.327,0.517,0.06,0.469,0.12,0.624,0.148,0.368,0.301,0.356,8,0.0414372,5.1,3.794,1.169,0.323939,9.28355624,29.408537,247.488907,85.478378
86,7.366531544420414,1.8,139.626,27.396,4.994,0.812,0.152,0.131,0.059,0.358,0.49,0.235,0.213,0.052,0.267,0.011,0.325,0.183,0.313,0.265,7,0.0712238,5.862,3.835,1.283,0.416233,12.0819907,39.467129,275.431732,107.484032
87,8.2839966563652,1.48,186.285,7.443,1.108,0.956,0.153,0.516,0.458,0.332,0.371,0.451,0.077,0.447,0.132,0.493,0.184,0.435,0.3,0.373,11,0.0765416,5.808,4.69,1.219,0.373009,12.8200127,37.442284,239.28392,94.879189
88,8.698970004336019,7.13,8.531,5.2,1.018,0.578,0.153,0.452,0.379,0.361,0.344,0.216,0.239,0.271,0.199,0.308,0.518,0.397,0.267,0.399,6,0.0416509,5.224,3.643,1.205,0.339777,10.9659464,45.474895,298.100647,178.704361
89,8.468521082957745,6.64,30.288,5.486,0.966,0.824,0.153,0.044,0.351,0.315,0.117,0.252,0.069,0.269,0.13,0.397,0.179,0.237,0.146,0.199,8,0.0412034,5.621,4.564,1.112,0.401963,4.67819901,48.063229,264.114441,124.590866
90,8.585026652029182,6.84,8.794,5.18,0.959,0.589,0.153,0.453,0.399,0.323,0.795,0.209,0.085,0.274,0.141,0.275,0.179,0.392,0.363,0.521,7,0.1098097,5.868,3.677,1.133,0.399335,7.17453804,43.839706,247.610489,146.391556
91,7.886056647693163,6.58,6.443,5.775,1.033,0.486,0.155,0.419,0.516,0.376,0.452,0.277,0.078,0.378,0.159,0.402,0.181,0.437,0.269,0.376,7,0.0936756,5.321,2.923,1.147,0.325778,8.27830762,34.02705,239.297852,82.635941
92,8.455931955649724,1.69,259.557,6.595,0.847,0.972,0.157,0.686,0.482,0.338,0.835,0.483,0.082,0.44,0.15,0.456,0.189,0.502,0.467,0.48,8,0.0801229,5.28,3.159,1.142,0.337987,7.20123468,38.437317,233.738968,49.695354
93,8.958607314841775,5.73,113.512,4.599,1.253,0.951,0.16,0.23,0.456,0.378,0.368,0.31,0.154,0.327,0.224,0.55,0.266,0.355,0.277,0.359,7,0.0250043,4.666,3.062,1.166,0.311719,8.96885217,18.433451,248.602203,54.974392
94,7.602059991327962,7.93,6.461,3.386,2.287,0.532,0.154,0.531,0.536,0.425,0.351,0.307,0.225,0.432,0.275,0.459,0.378,0.497,0.295,0.413,9,0.3093327,4.946,3.212,1.202,0.313524,10.6975741,64.965698,256.085022,114.680252
95,6.127843727251707,9.5,8.324,2.71,0.957,0.694,0.163,0.6,0.446,0.351,0.57,0.335,0.089,0.334,0.164,0.532,0.159,0.466,0.331,0.444,9,0.1351814,4.386,3.383,1.252,0.323233,10.2433179,21.177681,266.71106,39.757072
96,6.6777807052660805,9.86,34.952,3.095,0.925,0.897,0.167,0.05,0.419,0.305,0.007,0.298,0.032,0.318,0.127,0.506,0.126,0.258,0.112,0.219,7,0.0759917,4.298,3.212,1.237,0.303239,9.99138,22.544174,248.155167,38.290222
97,6.806875401645538,7.14,110.269,7.485,1.828,0.922,0.156,0.158,0.46,0.54,0.171,0.371,0.309,0.396,0.355,0.461,0.632,0.386,0.284,0.385,10,0.0404317,5.094,4.374,1.231,0.391922,10.9526231,46.454208,286.430359,114.143517
98,6.91721462968355,3.57,159.336,16.615,2.522,0.893,0.151,0.273,0.572,0.483,0.22,0.575,0.301,0.574,0.351,0.534,0.633,0.443,0.366,0.439,10,0.05186,5.991,4.16,1.323,0.438586,12.4081858,52.635345,272.778381,146.835434
99,6.920818753952375,5.79,68.659,3.22,1.736,0.933,0.151,0.159,0.393,0.418,0.071,0.128,0.253,0.232,0.309,0.299,0.396,0.323,0.151,0.257,8,0.1299216,6.079,4.453,1.317,0.485372,14.8229116,58.723492,249.4664,81.115021
100,7.67778070526608,4.45,204.583,2.47,1.036,0.983,0.163,0.766,0.411,0.299,0.588,0.311,0.047,0.325,0.117,0.494,0.088,0.492,0.315,0.377,10,0.1007655,4.328,3.52,1.25,0.317649,11.5987445,67.505554,281.891663,44.192741
101,7.795880017344075,2.04,68.131,7.723,0.862,0.888,0.155,0.063,0.388,0.271,0.051,0.332,0.049,0.356,0.108,0.345,0.108,0.24,0.144,0.159,9,0.115001,5.562,4.169,1.117,0.425425,7.96423896,68.062309,273.165375,121.704315
