mol_id,PKI,conformations (ns),0,1,2,3,5,8,9,10,20,21,31,32,75,76,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
98,6.91721462968355,8.9,16.807,2.219,1.62,0.814,0.151,0.562,0.368,0.371,0.267,0.124,0.272,0.2,0.453,0.166,0.321,11,0.1118606,6.005,4.124,1.322,0.437492,14.8023121,36.307468,278.789124,135.866623
99,6.920818753952375,8.38,386.429,79.249,6.714,0.818,0.151,0.76,0.155,0.538,0.191,0.157,0.18,0.298,0.069,0.331,0.445,9,0.0725664,6.151,4.451,1.329,0.47729,13.5314604,34.912296,290.492615,69.700287
100,7.67778070526608,0.26,8.488,2.379,0.947,0.718,0.163,0.557,0.41,0.291,0.318,0.067,0.321,0.134,0.526,0.118,0.285,9,0.1023133,4.601,3.383,1.192,0.312804,10.5849722,41.257935,261.657135,50.319618
101,7.795880017344075,5.28,279.061,182.21,3.683,0.6,0.155,0.605,0.374,0.425,0.281,0.434,0.347,0.354,0.175,0.444,0.49,11,0.1374376,5.438,4.169,1.136,0.417237,7.74452347,66.587494,295.992645,113.620399
102,7.920818753952375,3.85,128.321,7.377,2.225,0.93,0.16,0.176,0.474,0.392,0.601,0.264,0.507,0.292,0.455,0.517,0.328,9,0.1411109,5.285,4.11,1.257,0.379017,11.5016859,34.035049,262.094635,87.817467
103,7.920818753952375,8.33,31.032,6.44,2.045,0.785,0.157,0.047,0.35,0.446,0.007,0.004,0.035,0.222,0.068,0.237,0.013,14,0.1414644,5.285,4.35,1.189,0.392771,10.5551538,54.214916,260.056885,58.132938
104,7.920818753952375,4.82,212.328,2.518,1.045,0.983,0.164,0.965,0.418,0.316,0.244,0.072,0.3,0.14,0.327,0.123,0.434,10,0.1012204,4.472,3.363,1.217,0.314358,11.6773765,37.605869,256.030029,57.265491
105,8.070581074285707,3.47,331.17,25.333,7.595,0.91,0.154,0.474,0.039,0.32,0.032,0.002,0.024,0.023,0.024,0.118,0.127,8,0.1248862,5.713,3.417,1.19,0.423033,10.3281757,63.620293,265.31311,86.964691
106,8.102372908709558,4.14,266.25,90.216,2.276,0.742,0.157,0.616,0.148,0.426,0.051,0.29,0.054,0.318,0.061,0.308,0.366,12,0.1497105,5.539,4.041,1.146,0.37525,9.35548891,62.97546,306.456512,82.699265
107,8.207608310501746,2.35,8.254,3.359,0.931,0.658,0.16,0.54,0.51,0.302,0.259,0.073,0.35,0.135,0.556,0.117,0.362,10,0.1467846,5.028,4.048,1.344,0.357337,10.9880153,50.587242,275.295288,88.284164
109,8.327902142064282,4.65,14.512,3.483,1.037,0.763,0.151,0.539,0.457,0.381,0.337,0.103,0.355,0.178,0.455,0.176,0.342,9,0.1097466,5.622,4.086,1.383,0.420069,14.3381861,50.24823,295.352264,52.280972
110,8.619788758288394,1.86,228.56,23.185,7.806,0.881,0.153,0.936,0.03,0.394,0.002,0.058,0.007,0.174,0.012,0.16,0.349,10,0.2004649,5.78,4.008,1.214,0.415426,12.5189538,36.992699,261.079376,120.731949
113,5.337242168318426,8.39,10.92,2.223,0.082,0.826,0.18,0.576,0.516,0.216,0.456,0.158,0.328,0.122,0.384,0.069,0.445,4,0.1500288,4.742,2.342,1.083,0.366682,6.35434013,23.76486,34.982315,60.903316
114,5.508638306165727,9.04,11.169,1.653,0.555,0.835,0.177,0.601,0.557,0.494,0.462,0.129,0.317,0.266,0.788,0.145,0.322,5,0.0601076,4.358,2.206,1.112,0.327235,6.8553336,31.930986,39.192905,35.387852
