mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
85,7.508638306165727,249.905,5.845,1.312,0.972,0.159,0.59,0.489,0.382,0.437,0.155,0.424,0.229,0.562,0.233,0.487,0.432,8,0.0580965,5.09,3.794,1.168,0.323376,7.55381575,62.526489,228.258026,98.991501
86,7.366531544420414,221.557,5.629,5.382,0.953,0.152,0.281,0.393,0.344,0.262,0.165,0.309,0.244,0.346,0.253,0.339,0.317,10,0.0826708,5.955,3.939,1.289,0.4219,12.7940967,46.040962,308.998383,97.686905
87,8.2839966563652,140.762,6.397,4.638,0.927,0.153,0.141,0.475,0.393,0.543,0.279,0.495,0.296,0.539,0.459,0.336,0.302,9,0.1029593,6.049,4.688,1.238,0.37576,6.88725389,49.021149,236.410065,143.915161
88,8.698970004336019,8.313,5.359,1.039,0.565,0.153,0.449,0.377,0.352,0.213,0.235,0.269,0.197,0.304,0.487,0.393,0.263,7,0.0450697,5.383,3.744,1.208,0.338976,10.8737589,54.869438,260.330292,163.759186
89,8.468521082957745,9.073,5.394,0.951,0.588,0.153,0.444,0.409,0.297,0.339,0.068,0.341,0.126,0.486,0.174,0.383,0.295,12,0.1290471,5.776,4.598,1.112,0.378271,7.98169524,47.069801,260.299042,113.455948
90,8.585026652029182,267.924,231.723,132.125,0.424,0.153,0.505,0.377,0.777,0.236,0.259,0.285,0.519,0.238,0.187,0.553,0.429,7,0.0944578,5.592,3.677,1.133,0.398896,8.42177948,38.669212,272.821106,148.138626
91,7.886056647693163,6.693,5.765,1.076,0.495,0.155,0.423,0.54,0.379,0.287,0.074,0.391,0.159,0.417,0.169,0.447,0.271,6,0.090138,5.307,2.924,1.148,0.329315,8.28548304,60.575905,274.569305,87.405388
92,8.455931955649724,197.549,79.23,4.496,0.702,0.157,0.299,0.128,0.46,0.074,0.334,0.06,0.382,0.201,0.394,0.295,0.177,6,0.0684756,5.356,3.261,1.136,0.330258,10.3161333,24.57687,262.194458,57.939854
93,8.958607314841775,223.481,6.148,2.171,0.964,0.16,0.837,0.506,0.409,0.437,0.169,0.429,0.232,0.559,0.265,0.584,0.449,7,0.0719873,5.053,2.993,1.169,0.30974,7.28227357,42.791893,241.386276,76.323967
94,7.602059991327962,25.455,5.648,2.269,0.763,0.154,0.04,0.366,0.432,0.163,0.236,0.303,0.282,0.338,0.427,0.279,0.135,6,0.2658748,5.637,3.247,1.204,0.349134,10.7321117,51.904266,254.654846,90.159599
95,6.127843727251707,145.706,5.937,1.465,0.952,0.163,0.309,0.392,0.395,0.419,0.13,0.41,0.206,0.478,0.211,0.365,0.341,10,0.1378664,4.858,3.623,1.251,0.324786,10.4941474,28.652332,246.243622,54.503433
96,6.6777807052660805,7.844,2.658,0.765,0.696,0.167,0.597,0.446,0.34,0.34,0.054,0.34,0.133,0.562,0.115,0.461,0.303,8,0.0756732,4.267,3.417,1.237,0.308015,10.301666,32.192795,221.559662,81.099609
97,6.806875401645538,121.86,2.405,1.867,0.966,0.156,0.257,0.371,0.382,0.281,0.152,0.274,0.228,0.546,0.236,0.337,0.281,10,0.0901521,5.393,4.033,1.233,0.377739,13.0568107,38.045979,310.113495,106.648018
98,6.91721462968355,18.112,2.624,0.763,0.842,0.151,0.565,0.477,0.327,0.289,0.075,0.343,0.134,0.518,0.136,0.456,0.307,7,0.0567417,6.141,4.16,1.325,0.44332,10.9951745,43.960915,333.404266,134.220291
99,6.920818753952375,21.097,2.529,0.949,0.858,0.151,0.575,0.395,0.378,0.262,0.092,0.287,0.167,0.425,0.163,0.449,0.308,9,0.1126665,6.224,4.386,1.331,0.475499,13.3083539,53.566902,286.437103,69.067764
100,7.67778070526608,8.599,2.361,0.969,0.721,0.163,0.579,0.422,0.315,0.317,0.064,0.322,0.136,0.525,0.12,0.439,0.297,8,0.0220191,4.169,3.52,1.25,0.316602,11.3019476,38.477875,242.378525,54.96233
101,7.795880017344075,431.88,13.309,2.285,0.965,0.155,0.926,0.378,0.439,0.423,0.218,0.42,0.266,0.566,0.385,0.581,0.508,9,0.1267642,5.192,4.101,1.131,0.423602,8.29443221,86.500961,270.094971,127.356514
102,7.920818753952375,196.736,3.514,1.455,0.975,0.16,0.54,0.327,0.273,0.228,0.094,0.256,0.143,0.342,0.15,0.38,0.378,11,0.1614106,4.991,4.077,1.276,0.374222,11.6994764,52.659489,254.775375,93.116913
103,7.920818753952375,111.175,6.32,1.168,0.937,0.157,0.219,0.415,0.407,0.368,0.17,0.373,0.236,0.425,0.249,0.347,0.319,11,0.1163436,5.71,4.146,1.19,0.40173,10.2904033,56.785511,270.160736,63.385761
104,7.920818753952375,210.491,5.44,0.785,0.971,0.164,0.548,0.379,0.342,0.332,0.078,0.351,0.151,0.445,0.142,0.423,0.423,10,0.0135587,4.244,3.397,1.221,0.317745,10.2482187,32.24015,230.372894,65.370537
105,8.070581074285707,193.141,7.091,2.303,0.954,0.154,0.471,0.364,0.461,0.279,0.209,0.33,0.281,0.392,0.281,0.432,0.437,7,0.1648917,6.197,3.315,1.196,0.408024,10.0821822,55.349998,244.966232,110.019409
106,8.102372908709558,238.287,3.543,1.071,0.981,0.157,0.481,0.315,0.326,0.192,0.061,0.24,0.133,0.373,0.142,0.374,0.315,5,0.1487431,4.968,4.082,1.128,0.368702,9.69868123,49.601997,283.01297,94.489029
107,8.207608310501746,11.394,2.456,1.042,0.765,0.16,0.556,0.423,0.324,0.253,0.071,0.305,0.142,0.544,0.133,0.434,0.345,8,0.103345,5.121,4.161,1.376,0.389885,15.3067988,39.36591,269.426361,85.591354
109,8.327902142064282,271.242,6.714,1.964,0.969,0.151,0.366,0.458,0.447,0.443,0.238,0.415,0.293,0.605,0.275,0.424,0.422,9,0.1197056,5.726,3.881,1.39,0.411945,13.946645,37.381252,274.34613,71.424133
110,8.619788758288394,199.693,4.739,0.953,0.972,0.153,0.929,0.414,0.382,0.204,0.085,0.287,0.156,0.297,0.172,0.575,0.396,10,0.2667488,5.757,3.941,1.285,0.398116,11.7817102,59.832954,291.137604,125.518204
113,5.337242168318426,300.064,207.255,2.314,0.589,0.177,0.462,0.469,0.41,0.084,0.453,0.207,0.387,0.238,0.323,0.447,0.32,5,0.1411165,4.818,2.309,1.083,0.364203,6.80584507,36.522316,49.352692,73.69165
114,5.508638306165727,10.086,2.019,0.345,0.81,0.177,0.595,0.527,0.249,0.358,0.31,0.288,0.202,0.715,0.126,0.457,0.346,5,0.1538523,4.072,2.241,1.112,0.31533,7.06619175,35.194317,29.92116,65.659843
115,5.537602002101044,16.181,2.315,1.028,0.829,0.167,0.564,0.328,0.225,0.724,0.089,0.198,0.307,0.285,0.448,0.372,0.398,7,0.1280465,5.774,2.879,1.177,0.399496,9.54034007,45.096649,69.094887,65.025787
116,5.585026652029182,18.991,2.672,0.36,0.862,0.165,0.538,0.395,0.241,0.45,0.213,0.321,0.172,0.449,0.134,0.391,0.335,6,0.155603,6.141,3.075,1.139,0.422094,7.77438573,42.547844,40.98679,80.908195
117,5.619788758288394,205.076,3.212,1.297,0.978,0.163,0.928,0.383,0.288,0.291,0.461,0.28,0.313,0.297,0.443,0.533,0.571,8,0.0352609,5.694,3.215,1.167,0.426273,11.8507277,42.29641,68.287796,70.1605
118,5.657577319177793,242.397,6.092,1.137,0.971,0.177,0.404,0.428,0.366,0.351,0.128,0.389,0.175,0.482,0.187,0.399,0.32,5,0.1119829,4.593,2.207,1.114,0.321992,7.87931658,30.200661,59.981903,52.307045
119,5.6777807052660805,11.16,1.866,0.572,0.821,0.177,0.606,0.445,0.448,1.036,0.044,0.402,0.137,0.474,0.16,0.5,0.525,3,0.1414595,4.913,2.241,1.077,0.360083,5.92970541,42.587986,31.839367,32.966103
120,5.698970004336019,135.118,9.0,0.59,0.934,0.172,0.197,0.496,0.443,0.269,0.36,0.413,0.297,0.336,0.328,0.379,0.353,4,0.1239482,5.089,2.207,1.053,0.372597,5.23541124,52.974133,26.658054,61.637684
