mol_id,PKI,0,1,2,3,5,8,9,10,20,21,31,32,75,76,100,101,107,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
61,7.920818753952375,8.526,6.577,1.301,0.52,0.151,0.449,0.449,0.475,0.267,0.125,0.325,0.235,0.234,0.255,0.458,0.372,165.078,10,0.1537165,6.163,4.189,1.098,0.417129,11.5819597,47.976532,265.352966,150.541
62,8.769551078621726,392.73,110.334,47.043,0.714,0.148,0.714,0.352,0.052,0.627,0.158,0.327,0.107,0.234,0.022,0.373,0.48,2105993.955,12,0.1290197,5.954,5.622,1.131,0.43405,8.27749362,46.001915,238.666412,138.641907
63,8.431798275933005,9.954,8.354,0.889,0.518,0.149,0.408,0.506,0.336,0.354,0.106,0.417,0.16,0.433,0.167,0.417,0.345,192.599,9,0.1629815,6.765,5.385,1.154,0.43361,6.45055967,46.529587,286.018921,120.290115
64,8.267606240177031,207.464,9.196,6.151,0.931,0.145,0.388,0.376,0.39,0.423,0.393,0.298,0.471,0.3,0.329,0.385,0.342,15198.221,9,0.1883311,6.896,5.489,1.1,0.446944,8.60254475,34.872303,296.015625,183.868195
65,8.136677139879543,243.776,8.694,1.722,0.959,0.15,0.936,0.472,0.464,0.441,0.123,0.454,0.234,0.416,0.285,0.624,0.491,6457.236,10,0.1562927,6.397,5.574,1.099,0.409755,7.14498055,44.223312,299.368927,137.997635
66,8.075720713938118,23.399,9.045,3.457,0.652,0.148,0.052,0.384,0.225,0.198,0.002,0.442,0.022,0.438,0.056,0.22,0.079,1091.404,7,0.1504897,7.006,5.375,1.053,0.454359,4.27263412,37.654209,237.001419,189.06987
67,7.795880017344075,9.628,7.321,0.848,0.541,0.151,0.417,0.395,0.284,0.218,0.052,0.262,0.115,0.305,0.135,0.365,0.272,162.415,9,0.1667019,6.306,5.214,1.112,0.410459,8.00769582,66.818604,255.612991,104.729012
68,7.886056647693163,11.661,8.25,1.119,0.554,0.147,0.406,0.387,0.394,0.51,0.09,0.427,0.173,0.366,0.225,0.396,0.33,247.203,9,0.097037,6.749,5.365,1.092,0.450498,6.81847559,43.709358,249.965363,126.708107
70,8.031517051446064,125.925,26.915,1.279,0.817,0.147,0.318,0.033,0.344,0.006,0.004,0.012,0.057,0.017,0.117,0.232,0.111,8074.063,6,0.1154818,6.443,5.502,1.041,0.446689,4.90903606,87.813103,264.677704,107.511444
76,8.040958607678906,9.367,4.77,1.111,0.614,0.151,0.405,0.467,0.377,0.234,0.068,0.311,0.154,0.397,0.189,0.416,0.298,125.277,8,0.1227213,5.692,3.998,1.138,0.38743,8.77166881,31.247915,261.382477,88.319359
78,8.337242168318426,185.322,5.159,0.953,0.968,0.151,0.528,0.375,0.333,0.234,0.097,0.276,0.162,0.365,0.173,0.412,0.365,2240.189,7,0.1620197,6.003,4.101,1.095,0.393878,8.36000873,40.640888,275.541046,124.038254
79,7.0762380391713,18.475,3.301,0.501,0.829,0.162,0.563,0.379,0.31,0.345,0.118,0.29,0.159,0.41,0.175,0.417,0.284,124.683,7,0.1559361,5.931,2.844,1.171,0.425345,9.84285356,28.952778,927.768738,112.60611
80,9.522878745280336,90.247,9.287,2.71,0.883,0.152,0.105,0.405,0.364,0.584,0.16,0.49,0.233,0.415,0.267,0.291,0.265,3481.225,9,0.0939435,5.902,3.949,1.098,0.401031,4.95728619,30.505447,265.284241,90.889847
81,10.0,101.975,7.586,2.727,0.908,0.154,0.145,0.444,0.446,0.588,0.324,0.499,0.346,0.489,0.513,0.345,0.319,3294.465,7,0.0549787,5.561,4.051,1.167,0.374429,7.91143457,31.350868,252.543411,78.474373
82,8.958607314841775,11.199,5.388,0.924,0.64,0.151,0.468,0.358,0.297,0.232,0.095,0.265,0.139,0.314,0.197,0.375,0.333,148.964,8,0.179172,6.09,4.086,1.124,0.425613,7.79082448,60.211594,301.75531,105.020851
83,8.309803919971486,8.891,5.184,0.981,0.591,0.154,0.429,0.369,0.361,0.248,0.077,0.27,0.162,0.384,0.171,0.386,0.242,120.179,7,0.1028348,5.586,3.825,1.169,0.356439,10.414438,27.217911,223.585907,111.30423
85,7.508638306165727,240.498,6.322,3.07,0.962,0.159,0.666,0.42,0.401,0.226,0.203,0.296,0.258,0.363,0.271,0.496,0.4,7196.14,7,0.0662951,4.866,3.863,1.169,0.321544,7.11192443,41.610558,228.351929,86.561409
86,7.366531544420414,9.545,5.389,1.303,0.588,0.152,0.471,0.352,0.297,0.149,0.147,0.224,0.177,0.221,0.157,0.373,0.333,154.178,9,0.1076288,6.055,4.071,1.292,0.401733,10.1433027,33.930191,268.616943,112.348267
87,8.2839966563652,72.245,5.919,4.243,0.877,0.153,0.11,0.442,0.365,0.339,0.172,0.364,0.223,0.542,0.291,0.306,0.224,2656.002,9,0.0736062,5.578,4.759,1.238,0.379589,12.4091278,28.514103,311.711273,98.022659
88,8.698970004336019,8.515,5.345,1.032,0.572,0.153,0.455,0.377,0.333,0.221,0.204,0.276,0.174,0.311,0.451,0.388,0.256,121.676,9,0.0523658,5.337,3.676,1.207,0.341085,9.71670621,38.07296,299.468109,166.749512
89,8.468521082957745,287.997,238.173,1.21,0.546,0.153,0.513,0.494,0.311,0.262,0.089,0.324,0.158,0.307,0.16,0.439,0.307,152763.592,8,0.1437536,5.874,4.633,1.11,0.374133,9.26715225,46.365494,262.675293,143.219238
90,8.585026652029182,241.478,5.616,2.807,0.966,0.153,0.879,0.455,0.477,0.571,0.115,0.392,0.279,0.723,0.154,0.604,0.518,6106.093,8,0.1001964,5.761,3.575,1.131,0.390339,7.21750889,78.674065,275.83728,128.803268
91,7.886056647693163,219.168,6.352,2.628,0.961,0.155,0.685,0.438,0.446,0.304,0.161,0.323,0.258,0.432,0.297,0.523,0.318,5871.658,7,0.1190088,5.488,2.89,1.148,0.326934,8.49451124,48.542667,290.871704,93.491112
92,8.455931955649724,31.948,6.03,2.411,0.791,0.157,0.036,0.38,0.452,0.122,0.005,0.274,0.111,0.449,0.222,0.289,0.044,789.024,6,0.082512,5.301,3.33,1.134,0.337234,7.28014795,63.971268,268.54071,42.032822
93,8.958607314841775,69.968,5.784,1.332,0.908,0.16,0.103,0.466,0.355,0.415,0.146,0.398,0.185,0.535,0.283,0.308,0.204,1121.56,7,0.023989,4.968,2.821,1.168,0.307527,8.35585228,29.996712,229.596161,66.80925
94,7.602059991327962,6.237,4.14,2.31,0.492,0.154,0.522,0.544,0.435,0.248,0.241,0.391,0.287,0.38,0.417,0.5,0.285,122.132,7,0.2925808,5.24,3.11,1.202,0.321472,10.2383434,66.561256,237.700073,98.999603
95,6.127843727251707,8.074,2.575,1.188,0.682,0.165,0.587,0.408,0.373,0.333,0.11,0.316,0.187,0.521,0.18,0.456,0.332,69.98,7,0.0249556,4.507,3.657,1.248,0.321128,10.8977645,28.453445,275.633942,46.944115
96,6.6777807052660805,7.56,2.786,0.61,0.69,0.167,0.59,0.457,0.305,0.344,0.037,0.348,0.105,0.555,0.098,0.451,0.295,51.164,6,0.0850144,4.646,3.452,1.237,0.302825,10.5642104,32.875904,239.458481,49.586498
97,6.806875401645538,11.291,2.585,0.915,0.763,0.156,0.481,0.426,0.331,0.277,0.059,0.304,0.129,0.507,0.151,0.413,0.32,83.377,7,0.0482215,5.374,4.306,1.231,0.392012,9.88052331,40.730431,301.336517,124.15934
98,6.91721462968355,104.728,10.271,1.624,0.898,0.151,0.203,0.413,0.449,0.411,0.19,0.419,0.265,0.515,0.26,0.355,0.312,3125.706,11,0.0503337,6.298,4.297,1.322,0.44058,11.5895351,49.816887,300.478333,156.56134
99,6.920818753952375,194.301,8.442,2.344,0.947,0.151,0.458,0.5,0.409,0.313,0.274,0.393,0.301,0.359,0.401,0.456,0.446,6165.487,9,0.0996875,6.391,4.349,1.329,0.477079,14.0697783,17.076952,294.077393,77.79422
100,7.67778070526608,8.386,2.441,0.999,0.709,0.163,0.568,0.437,0.321,0.308,0.066,0.326,0.139,0.522,0.122,0.442,0.295,63.559,8,0.0218836,4.355,3.554,1.252,0.314824,11.6530852,25.555733,241.018311,53.255505
101,7.795880017344075,14.087,2.391,1.061,0.803,0.155,0.488,0.423,0.305,0.29,0.075,0.296,0.142,0.46,0.13,0.405,0.309,104.421,9,0.1060266,5.612,4.033,1.132,0.41738,7.86152404,38.432068,233.657547,159.280411
102,7.920818753952375,9.797,3.979,1.27,0.651,0.161,0.54,0.501,0.496,0.274,0.22,0.334,0.307,0.421,0.268,0.513,0.352,121.029,10,0.1935268,5.304,4.043,1.27,0.367881,12.9287865,34.348042,293.878143,87.550346
103,7.920818753952375,13.41,2.506,1.001,0.793,0.157,0.451,0.36,0.312,0.259,0.065,0.269,0.135,0.414,0.119,0.375,0.262,100.094,7,0.1095576,5.459,4.349,1.19,0.399173,10.1177673,44.326908,278.884796,63.86261
104,7.920818753952375,8.842,2.293,0.992,0.729,0.164,0.57,0.385,0.29,0.279,0.049,0.294,0.119,0.464,0.092,0.415,0.279,63.543,10,0.0474936,4.452,3.363,1.221,0.32139,10.2095411,33.066994,249.895966,54.604855
105,8.070581074285707,12.315,2.9,2.207,0.707,0.154,0.556,0.456,0.45,0.286,0.204,0.31,0.292,0.419,0.293,0.487,0.362,165.535,7,0.1850506,5.652,3.315,1.193,0.402994,9.93773009,65.463379,279.361572,86.896858
106,8.102372908709558,10.774,2.342,1.349,0.745,0.157,0.519,0.405,0.361,0.246,0.065,0.313,0.151,0.562,0.16,0.428,0.322,91.46,8,0.1161827,5.3,3.947,1.133,0.380638,6.19522232,39.958408,316.694672,98.524643
107,8.207608310501746,347.704,141.973,2.611,0.706,0.16,0.502,0.343,0.422,0.155,0.227,0.218,0.293,0.215,0.424,0.422,0.375,180007.512,12,0.1171947,4.892,4.059,1.369,0.373903,14.182237,41.549522,275.008606,82.396484
109,8.327902142064282,244.031,135.676,2.325,0.639,0.152,0.899,0.165,0.351,0.466,0.161,0.281,0.225,0.774,0.22,0.471,0.47,111356.402,9,0.1520108,6.007,3.881,1.383,0.427045,15.1591921,33.95916,272.95694,67.689148
