mol_id,PKI,0,1,2,3,5,8,9,10,19,20,21,30,31,32,54,74,75,76,100,101,102,106,num_of_hbonds,rmsd,Total,PSA,epsilon,Gyration,Mtot,Bond,U-B,Proper Dih.
89,8.468521082957745,10.023,5.47,0.851,0.613,0.153,0.414,0.35,0.304,0.54,0.207,0.065,0.461,0.24,0.127,0.167,0.398,0.365,0.168,0.356,0.271,0.276,0.31,9,0.0004744,5.758,4.6,1.0,0.399329,7.30301263,52.305836,251.695038,163.34761
90,8.585026652029182,8.162,5.439,1.195,0.552,0.154,0.464,0.401,0.333,0.791,0.215,0.14,0.519,0.274,0.19,0.187,1.097,0.283,0.222,0.399,0.382,0.328,0.534,9,0.0004978,5.656,3.744,1.0,0.392975,9.88054898,47.846817,267.430542,141.205078
91,7.886056647693163,6.433,5.709,1.016,0.489,0.155,0.425,0.51,0.346,0.457,0.284,0.083,0.424,0.369,0.151,0.193,0.546,0.421,0.19,0.427,0.275,0.315,0.385,3,0.0004952,4.999,3.095,1.0,0.326405,7.99350757,46.075993,236.420593,91.552597
92,8.455931955649724,6.735,4.299,1.099,0.555,0.157,0.494,0.563,0.371,0.469,0.406,0.118,0.458,0.411,0.175,0.209,0.564,0.649,0.243,0.476,0.331,0.348,0.486,9,0.0004556,5.004,3.094,1.0,0.320997,10.656344,31.941347,240.14241,87.441193
93,8.958607314841775,5.763,4.711,1.038,0.501,0.161,0.477,0.376,0.332,0.423,0.297,0.075,0.423,0.277,0.145,0.189,0.52,0.487,0.151,0.395,0.265,0.282,0.386,6,0.0004821,4.73,3.027,1.0,0.30664,7.41803137,49.331272,249.592178,76.356407
94,7.602059991327962,14.712,2.928,0.728,0.801,0.154,0.477,0.45,0.247,0.466,0.272,0.063,0.477,0.317,0.109,0.14,0.562,0.456,0.112,0.391,0.267,0.301,0.376,7,0.0004805,5.842,3.076,1.0,0.409343,11.0642035,66.497452,301.384735,110.453156
95,6.127843727251707,8.946,2.611,1.046,0.71,0.163,0.602,0.442,0.355,0.558,0.339,0.088,0.548,0.334,0.164,0.211,0.629,0.541,0.167,0.466,0.328,0.349,0.446,6,0.0004897,4.805,3.554,1.0,0.330127,10.6554184,51.195274,241.390472,43.308826
96,6.6777807052660805,7.529,2.621,0.794,0.688,0.168,0.588,0.442,0.342,0.492,0.346,0.055,0.501,0.345,0.133,0.189,0.567,0.561,0.115,0.457,0.297,0.326,0.414,11,0.000494,4.495,3.417,1.0,0.301504,9.86870877,20.21624,227.155624,65.739944
97,6.806875401645538,11.069,2.623,1.045,0.751,0.156,0.499,0.426,0.325,0.641,0.283,0.071,0.554,0.308,0.141,0.187,0.544,0.499,0.154,0.417,0.332,0.334,0.399,10,0.0004983,5.257,4.272,1.0,0.389605,9.37103872,55.230217,312.394318,113.118423
98,6.91721462968355,18.763,2.469,0.759,0.853,0.151,0.569,0.471,0.365,0.558,0.299,0.068,0.556,0.341,0.145,0.198,0.675,0.526,0.163,0.468,0.308,0.347,0.455,10,0.0004724,6.063,4.364,1.0,0.448966,8.48908213,42.214897,320.72525,161.721863
99,6.920818753952375,21.264,2.42,0.981,0.862,0.151,0.575,0.397,0.36,0.558,0.258,0.081,0.563,0.284,0.16,0.213,0.677,0.429,0.164,0.444,0.299,0.336,0.423,9,0.0004776,6.338,4.181,1.0,0.473967,13.7628124,42.225109,292.494049,100.105637
100,7.67778070526608,8.498,2.377,0.902,0.722,0.163,0.558,0.415,0.277,0.485,0.304,0.062,0.481,0.316,0.127,0.169,0.591,0.518,0.107,0.417,0.284,0.308,0.405,7,0.0004531,4.946,3.452,1.0,0.313716,10.8354928,35.823235,231.077026,40.35569
101,7.795880017344075,14.836,2.395,0.936,0.817,0.155,0.492,0.402,0.314,0.579,0.314,0.062,0.535,0.291,0.133,0.18,0.72,0.506,0.118,0.403,0.318,0.32,0.448,10,0.0005029,5.392,4.238,1.0,0.428874,11.4318324,101.847725,268.463684,114.774422
102,7.920818753952375,14.784,2.041,0.769,0.84,0.16,0.472,0.341,0.357,0.417,0.25,0.111,0.413,0.267,0.16,0.196,0.476,0.483,0.152,0.39,0.259,0.28,0.37,10,0.0005413,5.219,4.112,1.0,0.397229,11.0457629,54.938763,230.234467,108.848351
103,7.920818753952375,13.835,2.303,0.897,0.812,0.157,0.452,0.39,0.264,0.459,0.329,0.045,0.422,0.318,0.111,0.158,0.511,0.588,0.099,0.369,0.278,0.284,0.399,13,0.0004555,5.798,4.249,1.0,0.400409,8.10547787,71.364105,259.854279,88.892609
104,7.920818753952375,8.328,2.37,1.004,0.712,0.166,0.57,0.408,0.302,0.515,0.3,0.053,0.496,0.313,0.124,0.173,0.643,0.49,0.101,0.427,0.29,0.311,0.412,9,0.0004819,4.414,3.432,1.0,0.316156,10.0338915,50.401379,262.86438,48.101517
105,8.070581074285707,15.648,2.621,0.85,0.818,0.154,0.506,0.434,0.32,0.527,0.294,0.065,0.524,0.317,0.135,0.181,0.627,0.497,0.125,0.42,0.295,0.325,0.416,9,0.0004867,5.748,3.247,1.0,0.424388,10.4378435,46.967361,247.260681,117.033028
106,8.102372908709558,7.944,3.012,1.859,0.62,0.157,0.523,0.483,0.526,0.688,0.215,0.241,0.533,0.311,0.327,0.365,0.542,0.54,0.224,0.511,0.381,0.39,0.435,7,0.0004736,5.319,3.905,1.0,0.347976,8.5549673,36.321705,294.150574,113.227753
107,8.207608310501746,11.791,2.445,0.867,0.781,0.161,0.547,0.439,0.394,0.649,0.27,0.089,0.535,0.322,0.179,0.222,0.548,0.555,0.159,0.46,0.336,0.346,0.421,8,0.0004439,4.969,4.111,1.0,0.387438,13.2887591,48.682758,294.544739,95.842308
